actor,occurrence_count,rank,first_appearance,unique_dates
save the farm,2,629,2023-09,['2023-09']
palestine pals of san diego,2,630,2024-01,"['2024-01', '2024-09']"
philadelphia tenants union,2,631,2017-06,"['2017-06', '2020-09']"
the unhoused fighting back,2,632,2021-07,['2021-07']
rising majority,2,633,2024-04,"['2024-04', '2025-01']"
janitors,2,634,2022-07,"['2022-07', '2023-09']"
chapel hill-carrboro naacp,2,635,2021-08,"['2021-08', '2022-09']"
nukewatch,2,636,2022-08,['2022-08']
party for socialism and liberation - pittsburgh,2,637,2021-08,"['2021-08', '2021-09']"
movement 4 a peoples democracy,2,638,2022-08,['2022-08']
"city-wide tenant union of rochester, ny",2,639,2021-08,"['2021-08', '2022-03']"
minnesota war tax resistance,2,640,2022-08,['2022-08']
indivisible binghamton,2,641,2023-04,"['2023-04', '2024-02']"
mayday books,2,642,2022-08,['2022-08']
st. pete tenants union,2,643,2022-08,"['2022-08', '2024-06']"
the people's party,2,644,2021-09,['2021-09']
southern workers assembly,2,645,2024-05,"['2024-05', '2025-01']"
bds boston,2,646,2023-04,"['2023-04', '2023-11']"
we the people,2,647,2023-10,"['2023-10', '2025-04']"
hillside villa tenant association,2,648,2023-04,"['2023-04', '2023-05']"
los angeles community action network,2,649,2021-09,"['2021-09', '2024-03']"
black men build la,2,650,2024-01,"['2024-01', '2025-01']"
western mass area labor federation,2,651,2024-05,"['2024-05', '2024-08']"
adalah justice project,2,652,2023-10,"['2023-10', '2024-08']"
league of women voters,2,653,2024-05,"['2024-05', '2024-08']"
our revolution,2,654,2021-09,"['2021-09', '2023-06']"
brooklyn defenders,2,655,2023-04,"['2023-04', '2023-05']"
new jersey citizen action,2,656,2017-05,"['2017-05', '2023-06']"
treeage,2,657,2022-07,"['2022-07', '2023-11']"
equality illinois,2,658,2022-04,['2022-04']
national lawyers guild,2,659,2023-04,"['2023-04', '2024-04']"
gainesville neighborhood voices,2,660,2022-08,"['2022-08', '2022-10']"
defend people's park,2,661,2022-08,['2022-08']
alliance of californians for community empowerment action,2,662,2022-07,"['2022-07', '2023-02']"
rights & democracy,2,663,2023-04,"['2023-04', '2024-08']"
safe eastside,2,664,2021-08,"['2021-08', '2024-04']"
healthcare workers for palestine,2,665,2024-05,"['2024-05', '2025-01']"
nyc-dsa housing working group,2,666,2021-08,['2021-08']
students demand action,2,667,2023-04,"['2023-04', '2023-05']"
california faculty association,2,668,2023-05,"['2023-05', '2023-10']"
9to5 colorado,2,669,2021-08,"['2021-08', '2023-03']"
denver dsa,2,670,2021-08,"['2021-08', '2023-03']"
"katal center for equity, health, and justice",2,671,2021-09,"['2021-09', '2024-01']"
united residents of euclid beach,2,672,2023-04,"['2023-04', '2023-05']"
welfare rights committee,2,673,2022-08,['2022-08']
saint petersburg tenants union,2,674,2021-09,"['2021-09', '2022-01']"
tribal members,2,675,2023-03,"['2023-03', '2025-02']"
dc for ceasefire now coalition,2,676,2024-04,"['2024-04', '2024-08']"
labor unions,2,677,2021-10,"['2021-10', '2023-05']"
chicago coalition for justice in palestine,2,678,2024-04,"['2024-04', '2024-05']"
north bay organizing project,2,679,2023-09,"['2023-09', '2024-01']"
alliance for educational justice,2,680,2021-05,['2021-05']
network for public education action,2,681,2021-05,['2021-05']
jaj,2,682,2021-05,['2021-05']
ibew,2,683,2021-10,"['2021-10', '2022-08']"
showing up for racial justice nyc,2,684,2022-07,['2022-07']
reclaim brookmeade park,2,685,2021-10,"['2021-10', '2022-09']"
long island social justice action network,2,686,2022-09,['2022-09']
graduate teaching fellow federation,2,687,2021-05,"['2021-05', '2021-06']"
li activists,2,688,2022-09,['2022-09']
suffolk county green party,2,689,2022-09,['2022-09']
long island jobs with justice,2,690,2022-09,['2022-09']
the cultural center,2,691,2022-09,['2022-09']
nassau county dsa,2,692,2022-09,['2022-09']
housing for all long island,2,693,2022-09,['2022-09']
sjp chicago,2,694,2024-04,"['2024-04', '2024-08']"
extinction rebellion boston,2,695,2022-10,"['2022-10', '2023-05']"
autonomous group,2,696,2021-11,"['2021-11', '2024-08']"
student homeless alliance,2,697,2021-11,"['2021-11', '2021-12']"
alachua county labor coalition,2,698,2021-05,"['2021-05', '2021-10']"
unidad latina nj,2,699,2022-04,"['2022-04', '2023-05']"
new orleans dsa,2,700,2023-03,"['2023-03', '2025-01']"
anti police-terror project,2,701,2021-05,"['2021-05', '2025-01']"
open table nashville,2,702,2021-05,"['2021-05', '2022-07']"
casa freehold,2,703,2022-04,"['2022-04', '2023-05']"
alumni,2,704,2023-03,"['2023-03', '2024-11']"
socal uprising,2,705,2024-04,"['2024-04', '2024-06']"
pacifist grassroots collective,2,706,2024-04,"['2024-04', '2024-09']"
frso chicago,2,707,2024-08,"['2024-08', '2024-11']"
desegregate connecticut,2,708,2021-05,['2021-05']
new labor,2,709,2022-04,"['2022-04', '2023-05']"
movimiento cosecha,2,710,2022-06,"['2022-06', '2023-05']"
harrison neighborhood association,2,711,2021-05,"['2021-05', '2022-01']"
new jersey policy perspective,2,712,2022-06,"['2022-06', '2023-06']"
minneapolis united for rent control,2,713,2021-05,"['2021-05', '2022-01']"
new jersey alliance for immigrant justice,2,714,2022-06,"['2022-06', '2023-05']"
united american indians of new england,2,715,2023-05,"['2023-05', '2023-11']"
college students,2,716,2022-09,"['2022-09', '2025-01']"
portland mutual aid,2,717,2024-06,"['2024-06', '2024-07']"
rise up 4 abortion rights,2,718,2022-07,['2022-07']
nj 11th for change,2,719,2017-08,['2017-08']
unite here local 5,2,720,2023-10,"['2023-10', '2023-12']"
chhaya cdc,2,721,2022-09,"['2022-09', '2023-05']"
fair chance for housing nyc,2,722,2021-06,"['2021-06', '2022-12']"
wind of the spirit,2,723,2017-08,['2017-08']
santa barbara tenants union,2,724,2022-04,"['2022-04', '2022-10']"
fans,2,725,2022-07,"['2022-07', '2022-10']"
tenant activists,2,726,2017-08,"['2017-08', '2019-06']"
mass feminist struggle committee,2,727,2022-08,['2022-08']
make the road connecticut,2,728,2023-05,"['2023-05', '2023-07']"
home in tacoma for all,2,729,2022-08,"['2022-08', '2022-10']"
not one more block,2,730,2022-04,"['2022-04', '2022-06']"
atlanta homeless union,2,731,2021-07,['2021-07']
sf black wallstreet,2,732,2023-05,['2023-05']
young women's freedom center,2,733,2023-05,"['2023-05', '2023-06']"
chicago union of the homeless,2,734,2022-08,"['2022-08', '2022-09']"
chhaya,2,735,2022-04,"['2022-04', '2023-05']"
serve the people akron,2,736,2022-06,"['2022-06', '2023-04']"
justice for patrick kimmons,2,737,2021-05,"['2021-05', '2023-06']"
ny caring majority,2,738,2023-03,['2023-03']
massachusetts immigrant and refugee advocacy coalition,2,739,2023-10,"['2023-10', '2024-09']"
cdpaanys,2,740,2023-03,['2023-03']
align ny,2,741,2023-03,['2023-03']
peace in ukraine coalition,2,742,2022-09,"['2022-09', '2023-10']"
maine dsa,2,743,2023-09,"['2023-09', '2024-07']"
housing opportunities for people everywhere,2,744,2021-10,"['2021-10', '2022-12']"
people's city council la,2,745,2021-06,"['2021-06', '2024-06']"
center for nyc neighborhoods,2,746,2022-04,"['2022-04', '2023-05']"
la union de vecinos,2,747,2021-06,"['2021-06', '2022-10']"
center for popular democracy action,2,748,2022-09,"['2022-09', '2023-07']"
wrap,2,749,2024-04,"['2024-04', '2024-12']"
love and justice in the streets,2,750,2024-04,"['2024-04', '2024-12']"
renters united,2,751,2023-03,"['2023-03', '2024-06']"
utah against police brutality,2,752,2017-08,"['2017-08', '2021-01']"
long island peaceful protest,2,753,2021-06,['2021-06']
aint,2,754,2021-06,['2021-06']
somos tejas,2,755,2022-06,"['2022-06', '2024-03']"
boston may day coalition,2,756,2023-01,"['2023-01', '2023-05']"
sunrise kids nyc,2,757,2021-12,"['2021-12', '2022-01']"
helpnyc,2,758,2021-12,"['2021-12', '2022-07']"
people's housing project,2,759,2023-05,"['2023-05', '2024-09']"
prince george's county housing justice coalition,2,760,2022-12,"['2022-12', '2024-02']"
hope house,2,761,2022-12,"['2022-12', '2023-12']"
svitanok nyc,2,762,2024-10,['2024-10']
sisters of the road,2,763,2021-12,"['2021-12', '2023-05']"
cuny internationalist clubs,2,764,2023-05,"['2023-05', '2023-08']"
jdw tenants union,2,765,2020-12,"['2020-12', '2021-06']"
la colectiva,2,766,2022-03,"['2022-03', '2022-04']"
da homeless hero,2,767,2020-11,"['2020-11', '2021-07']"
national women⊙s law center,2,768,2025-01,['2025-01']
homeless shelter residents,2,769,2020-04,"['2020-04', '2024-04']"
community organizations,2,770,2022-03,"['2022-03', '2023-02']"
harriet tubman center for social justice - la,2,771,2023-01,"['2023-01', '2025-02']"
acce,2,772,2020-05,"['2020-05', '2021-06']"
changed paths,2,773,2024-12,"['2024-12', '2025-01']"
veterans for peace chapter 27,2,774,2022-02,"['2022-02', '2022-08']"
general demonstrators,2,775,2020-07,"['2020-07', '2020-08']"
frontline,2,776,2025-01,['2025-01']
sunrise movement dc,2,777,2020-10,"['2020-10', '2021-10']"
human resources development council,2,778,2022-12,"['2022-12', '2023-12']"
make the road,2,779,2021-12,"['2021-12', '2024-09']"
serve the people san jose,2,780,2020-05,"['2020-05', '2021-01']"
unemployed workers,2,781,2020-07,['2020-07']
fishing for housing,2,782,2024-02,"['2024-02', '2024-03']"
uchicago united for palestine,2,783,2024-10,"['2024-10', '2025-01']"
power california,2,784,2022-03,"['2022-03', '2023-06']"
release aging people in prison campaign,2,785,2020-10,"['2020-10', '2023-04']"
stop chicago,2,786,2022-05,"['2022-05', '2022-06']"
not me we,2,787,2022-05,"['2022-05', '2024-03']"
the feminist front,2,788,2025-01,['2025-01']
american-arab anti-discrimination committee,2,789,2024-10,['2024-10']
the people's forum,2,790,2024-10,['2024-10']
now,2,791,2025-01,['2025-01']
party of socialism and liberation,2,792,2021-01,"['2021-01', '2021-06']"
mid-hudson valley dsa,2,793,2022-03,"['2022-03', '2023-05']"
new orleans renters rights assembly,2,794,2020-07,"['2020-07', '2020-11']"
hudson-catskill housing coalition,2,795,2022-03,"['2022-03', '2023-05']"
man,2,796,2021-09,"['2021-09', '2024-09']"
seiu local 509,2,797,2023-11,"['2023-11', '2024-05']"
alliance san diego,2,798,2023-06,['2023-06']
residents to preserve public housing,2,799,2022-05,"['2022-05', '2022-11']"
united working families illinois,2,800,2022-05,"['2022-05', '2023-09']"
seiu hciimk,2,801,2022-05,"['2022-05', '2022-07']"
princeton graduate student union,2,802,2023-02,"['2023-02', '2023-05']"
lift the ban coalition,2,803,2020-03,"['2020-03', '2021-04']"
rise and resist,2,804,2022-02,"['2022-02', '2023-05']"
chicago alliance against racist and political repression,2,805,2020-10,"['2020-10', '2021-01']"
rights & democracy nh,2,806,2022-05,"['2022-05', '2022-09']"
lee county homeless coalition,2,807,2022-12,"['2022-12', '2023-12']"
safe boulder,2,808,2022-05,"['2022-05', '2022-12']"
chicago democratic socialists of america,2,809,2020-10,"['2020-10', '2021-04']"
mijente,2,810,2024-03,"['2024-03', '2024-08']"
jcua,2,811,2022-05,"['2022-05', '2022-07']"
unidad latina en acción,2,812,2020-12,"['2020-12', '2023-02']"
colorado coalition for the homeless,2,813,2022-12,"['2022-12', '2023-12']"
workers world party - boston,2,814,2023-01,"['2023-01', '2023-05']"
#notagainsu,2,815,2020-02,['2020-02']
st. nicks alliance,2,816,2023-05,['2023-05']
nyc psl,2,817,2022-02,"['2022-02', '2024-12']"
tam equity campaign,2,818,2021-01,"['2021-01', '2021-02']"
unhoused san diegans,2,819,2021-12,"['2021-12', '2023-05']"
48th ward neighbors for justice,2,820,2020-10,"['2020-10', '2024-03']"
rhode island housing justice committee,2,821,2024-11,['2024-11']
detroit renter city,2,822,2020-07,"['2020-07', '2020-08']"
salt lake valley coalition to end homelessness,2,823,2022-12,"['2022-12', '2023-12']"
youth against war & racism,2,824,2020-11,"['2020-11', '2023-01']"
bayan oregon,2,825,2024-11,"['2024-11', '2025-01']"
new democracy coalition,2,826,2020-11,"['2020-11', '2023-05']"
arab american association of new york,2,827,2022-05,"['2022-05', '2023-06']"
dallas palestine coalition,2,828,2022-01,"['2022-01', '2024-07']"
filipino community center,2,829,2023-06,"['2023-06', '2024-05']"
women in black,2,830,2022-12,"['2022-12', '2023-01']"
boston democratic socialists of america,2,831,2020-11,"['2020-11', '2021-04']"
boston socialist alternative,2,832,2020-11,"['2020-11', '2021-04']"
missouri workers center,2,833,2023-06,"['2023-06', '2023-12']"
yakima neighborhood health services,2,834,2022-12,"['2022-12', '2023-12']"
dallas anti-war committee,2,835,2022-01,"['2022-01', '2024-03']"
communities united,2,836,2020-11,"['2020-11', '2022-05']"
stand up kc,2,837,2023-06,"['2023-06', '2023-12']"
idaho liberty dogs,2,838,2022-01,"['2022-01', '2022-02']"
lexington tenants union,2,839,2022-05,"['2022-05', '2022-10']"
autonomy tucson,2,840,2022-01,"['2022-01', '2022-05']"
santa cruz homeless union,2,841,2020-10,"['2020-10', '2024-07']"
politicians,2,842,2023-01,"['2023-01', '2023-05']"
michigan organization on adolescent sexual health,2,843,2022-05,['2022-05']
mn abortion action committee,2,844,2023-12,"['2023-12', '2024-08']"
coalition for community advancement,2,845,2023-02,"['2023-02', '2023-05']"
chum,2,846,2022-12,"['2022-12', '2023-12']"
tacoma dsa,2,847,2022-01,"['2022-01', '2022-09']"
marin dsa,2,848,2023-05,"['2023-05', '2023-06']"
tacoma action collective,2,849,2022-01,"['2022-01', '2022-08']"
dc tenants union,2,850,2020-07,['2020-07']
arbor lodge daily protest,2,851,2023-06,"['2023-06', '2023-07']"
budget justice coalition,2,852,2023-06,['2023-06']
bayan seattle,2,853,2022-05,"['2022-05', '2024-11']"
periwinkle mhp strong,2,854,2023-02,"['2023-02', '2023-04']"
real change,2,855,2020-05,"['2020-05', '2024-04']"
vallejo homeless union,2,856,2024-11,"['2024-11', '2025-03']"
htc,2,857,2024-12,"['2024-12', '2025-01']"
manufactured home owners association of illinois,2,858,2020-11,"['2020-11', '2021-05']"
national organization for women,2,859,2024-11,"['2024-11', '2025-01']"
protect your people,2,860,2024-11,['2024-11']
fifth avenue committee,2,861,2023-05,['2023-05']
climate justice committee,2,862,2023-06,"['2023-06', '2023-12']"
the people's struggle san fernando valley,2,863,2024-11,"['2024-11', '2025-02']"
coalition of black trade unionists,2,864,2022-05,"['2022-05', '2023-06']"
free the people roc,2,865,2020-06,"['2020-06', '2022-03']"
right to the city boston,2,866,2020-10,"['2020-10', '2023-01']"
ilps,2,867,2024-11,"['2024-11', '2025-01']"
gather together as 1,2,868,2024-11,['2024-11']
minnesota disability justice network,2,869,2020-11,"['2020-11', '2021-02']"
better lives rhode island,2,870,2024-11,['2024-11']
new york community action project,2,871,2020-11,"['2020-11', '2021-01']"
portland youth climate strike,2,872,2022-05,"['2022-05', '2023-09']"
malcolm x grassroots movement,2,873,2024-03,"['2024-03', '2025-01']"
greater boston tenants union,2,874,2022-02,"['2022-02', '2022-05']"
communities united for restorative youth justice,2,875,2023-06,"['2023-06', '2024-08']"
homeless leadership coalition,2,876,2022-12,"['2022-12', '2023-12']"
madison socialist alternative,2,877,2020-11,"['2020-11', '2022-03']"
longshore workers,2,878,2022-02,"['2022-02', '2022-04']"
miami workers center,2,879,2022-01,"['2022-01', '2022-03']"
milwaukee socialist alternative,2,880,2020-11,"['2020-11', '2022-03']"
rhode island poor peoples campaign,2,881,2024-03,['2024-03']
tenant union flatbush,2,882,2023-05,"['2023-05', '2024-03']"
eugene human rights commission,2,883,2022-12,"['2022-12', '2023-12']"
ilwu local 10,2,884,2022-02,"['2022-02', '2022-05']"
sunrise pdx,2,885,2022-05,"['2022-05', '2023-11']"
ue 150,2,886,2023-05,"['2023-05', '2023-06']"
shut down dc,2,887,2021-02,"['2021-02', '2024-08']"
national students for justice in palestine,2,888,2024-08,"['2024-08', '2025-02']"
bellingham occupied protest,2,889,2021-02,"['2021-02', '2021-03']"
lugenia burns hope center,2,890,2022-11,"['2022-11', '2023-08']"
atlanta dsa,2,891,2025-01,['2025-01']
the bronx defenders,2,892,2022-12,"['2022-12', '2023-03']"
high school students,2,893,2022-06,"['2022-06', '2025-02']"
city life / vida urbana,2,894,2022-03,"['2022-03', '2022-10']"
semilla collective,2,895,2020-08,"['2020-08', '2025-01']"
new yorkers for racially just public schools,2,896,2022-06,"['2022-06', '2022-12']"
space city anarchist organization,2,897,2023-03,['2023-03']
graduate assistants united,2,898,2023-03,"['2023-03', '2025-02']"
alliance for independent workers,2,899,2022-05,"['2022-05', '2023-09']"
abortion action now,2,900,2025-01,['2025-01']
san francisco interfaith council,2,901,2018-12,"['2018-12', '2022-12']"
time to act,2,902,2025-01,['2025-01']
indivisible brooklyn,2,903,2023-05,"['2023-05', '2025-03']"
vendors at the north hollywood swap meet,2,904,2022-03,['2022-03']
city residents,2,905,2022-12,"['2022-12', '2024-08']"
protect the people,2,906,2022-03,"['2022-03', '2022-04']"
uu mass action,2,907,2025-01,"['2025-01', '2025-04']"
sistersong,2,908,2025-01,['2025-01']
women⊙s march,2,909,2025-01,['2025-01']
raza against war,2,910,2025-01,['2025-01']
united tenants of albany,2,911,2020-09,"['2020-09', '2022-12']"
wasatch tenants united,2,912,2021-02,"['2021-02', '2021-12']"
casa maria soup kitchen,2,913,2021-03,"['2021-03', '2025-01']"
maine people's alliance,2,914,2023-06,"['2023-06', '2023-09']"
united neighborhood defense movement,2,915,2020-08,"['2020-08', '2021-02']"
national alliance against racist & political repression,2,916,2024-03,"['2024-03', '2024-08']"
uc student-workers union uaw 2865,2,917,2022-11,"['2022-11', '2022-12']"
honolulu tenants union,2,918,2023-07,"['2023-07', '2023-10']"
people's action,2,919,2022-11,"['2022-11', '2023-11']"
green party of nj,2,920,2021-03,"['2021-03', '2021-09']"
our rights dc,2,921,2022-06,"['2022-06', '2022-07']"
house the bay,2,922,2020-08,"['2020-08', '2021-05']"
springfield tenants unite,2,923,2021-03,"['2021-03', '2025-01']"
monument impact,2,924,2021-03,"['2021-03', '2024-04']"
union workers,2,925,2018-10,"['2018-10', '2025-02']"
the way home dc,2,926,2021-12,"['2021-12', '2023-02']"
milwaukee for palestine,2,927,2024-09,"['2024-09', '2025-01']"
downright impolite,2,928,2022-06,"['2022-06', '2022-07']"
nc people's power coalition,2,929,2023-05,"['2023-05', '2023-06']"
psl western north carolina,2,930,2025-01,['2025-01']
city-wide tenant union,2,931,2022-02,"['2022-02', '2022-03']"
rise up kingston,2,932,2022-11,"['2022-11', '2023-03']"
small business owners,2,933,2021-03,"['2021-03', '2023-06']"
metropolitan council of housing,2,934,2021-02,"['2021-02', '2021-03']"
fttu,2,935,2021-02,"['2021-02', '2021-03']"
conservatives,2,936,2023-05,"['2023-05', '2023-10']"
cosecha,2,937,2021-02,"['2021-02', '2021-03']"
united socialists at penn state,2,938,2021-12,"['2021-12', '2023-05']"
rude mechanical orchestra,2,939,2022-11,"['2022-11', '2024-10']"
nwbccc,2,940,2022-02,"['2022-02', '2022-04']"
north jersey dsa,2,941,2022-11,"['2022-11', '2023-05']"
black women's march,2,942,2021-03,"['2021-03', '2023-05']"
boston workers circle,2,943,2021-03,"['2021-03', '2022-02']"
people's defense front - northern appalachia,2,944,2023-05,"['2023-05', '2024-03']"
silicon valley democratic socialists of america,2,945,2021-01,"['2021-01', '2021-05']"
ohio poor people's campaign,2,946,2021-03,"['2021-03', '2021-10']"
palenque lsna,2,947,2023-02,"['2023-02', '2023-10']"
city leaders,2,948,2020-08,"['2020-08', '2023-08']"
police free penn,2,949,2021-12,"['2021-12', '2022-02']"
graduate employee organization,2,950,2023-07,['2023-07']
popular democracy,2,951,2025-01,['2025-01']
youth vs. apocalypse,2,952,2022-11,"['2022-11', '2023-02']"
groundworks collaborative,2,953,2023-01,"['2023-01', '2024-01']"
national justice party,2,954,2023-07,"['2023-07', '2023-08']"
overpass light brigade,2,955,2023-06,['2023-06']
chico friends on the street,2,956,2021-01,"['2021-01', '2022-02']"
veritas tenants association,2,957,2020-09,"['2020-09', '2020-12']"
rego park united,2,958,2024-02,"['2024-02', '2024-04']"
faculty members,2,959,2021-12,"['2021-12', '2023-07']"
detroit anti-war committee,2,960,2024-08,"['2024-08', '2025-03']"
kentuckians for the commonwealth,2,961,2023-01,"['2023-01', '2024-02']"
west side tenants association,2,962,2020-09,"['2020-09', '2024-06']"
fight for nycha,2,963,2020-09,"['2020-09', '2022-05']"
hotel workers,2,964,2021-03,"['2021-03', '2023-01']"
undocumented workers,2,965,2021-03,['2021-03']
unhoused activists community team,2,966,2023-05,"['2023-05', '2025-01']"
day workers,2,967,2021-03,['2021-03']
colectiva feminista,2,968,2022-03,"['2022-03', '2022-04']"
defend democracy coalition,2,969,2021-01,['2021-01']
harriet⊙s wildest dreams,2,970,2025-01,['2025-01']
national sjp,2,971,2024-10,['2024-10']
frso dallas,2,972,2024-03,"['2024-03', '2024-07']"
whatcom human rights task force,2,973,2021-01,['2021-01']
bakersfield-kern regional homeless collaborative,2,974,2022-12,"['2022-12', '2023-12']"
baltimore liberation front,2,975,2021-02,"['2021-02', '2024-05']"
labor religion coalition of new york state,2,976,2020-09,"['2020-09', '2020-10']"
sacramento regional coalition to end homelessness,2,977,2021-02,"['2021-02', '2022-12']"
united renters for justice,2,978,2019-03,"['2019-03', '2020-08']"
merchants,2,979,2023-07,"['2023-07', '2023-08']"
haiti justice committee,2,980,2022-12,['2022-12']
unions,2,981,2022-05,"['2022-05', '2023-05']"
united we dream,2,982,2021-12,"['2021-12', '2025-01']"
pittsburgh anti-imperialist league,2,983,2021-01,"['2021-01', '2021-05']"
alliance for police accountability,2,984,2021-01,"['2021-01', '2021-10']"
climate justice minnesota,2,985,2022-12,['2022-12']
frso twin cities,2,986,2022-12,['2022-12']
geneva women's assembly,2,987,2021-01,"['2021-01', '2025-02']"
students for justice in palestine umn,2,988,2022-12,['2022-12']
love is a verb,2,989,2019-04,['2019-04']
center for popular democracy,2,990,2021-12,"['2021-12', '2024-09']"
uc-berkeley students,2,991,2021-02,['2021-02']
life in my days,2,992,2021-01,['2021-01']
tcc4j. minnesota abortion action coalition,2,993,2022-12,['2022-12']
community power collective,2,994,2022-12,"['2022-12', '2023-01']"
irvine community with humanity,2,995,2024-09,"['2024-09', '2024-10']"
eastside leads,2,996,2022-12,"['2022-12', '2024-12']"
innercity struggle,2,997,2022-12,"['2022-12', '2023-01']"
oc banner drop 4 palestine,2,998,2024-09,"['2024-09', '2024-10']"
katal center,2,999,2022-03,"['2022-03', '2023-08']"
strategic actions for a just economy,2,1000,2022-12,"['2022-12', '2023-01']"
lafayette transitional housing center homeless service,1,1001,2023-12,['2023-12']
non-profit corporations,1,1002,2023-12,['2023-12']
chinook center,1,1003,2023-10,['2023-10']
maui tenants and workers association,1,1004,2023-12,['2023-12']
super,1,1005,2023-10,['2023-10']
beacon inc.,1,1006,2023-12,['2023-12']
lifeline aid group,1,1007,2023-12,['2023-12']
falastiniyat,1,1008,2023-10,['2023-10']
resident life workers,1,1009,2023-10,['2023-10']
boston university graduate workers union,1,1010,2023-10,['2023-10']
community library network alliance,1,1011,2024-01,['2024-01']
heartland center,1,1012,2023-12,['2023-12']
sd skaters for palestine,1,1013,2024-01,['2024-01']
missouri jobs with justice,1,1014,2023-12,['2023-12']
rediscovered books,1,1015,2024-01,['2024-01']
chicago coalition against gardaworld,1,1016,2024-01,['2024-01']
north central idaho alliance,1,1017,2024-01,['2024-01']
adjunct faculty,1,1018,2023-10,['2023-10']
the sidewalk project,1,1019,2023-12,['2023-12']
meridian library alliance,1,1020,2024-01,['2024-01']
idaho library association,1,1021,2024-01,['2024-01']
"residents of littlewoods mobile villa, carriage court, and countryside mobile home parks",1,1022,2024-01,['2024-01']
alpha kappa alpha,1,1023,2024-01,['2024-01']
unite here! local 5,1,1024,2023-12,['2023-12']
hospitality house,1,1025,2023-12,['2023-12']
international longshore and warehouse union,1,1026,2023-12,['2023-12']
old town community alliance,1,1027,2023-12,['2023-12']
palestinians,1,1028,2023-10,['2023-10']
north county equity & justice coalition,1,1029,2024-01,['2024-01']
activist san diego,1,1030,2024-01,['2024-01']
association of flight attendants cwa,1,1031,2023-12,['2023-12']
muslim american society,1,1032,2023-10,['2023-10']
samidoun seattle,1,1033,2023-10,['2023-10']
urban pathways,1,1034,2023-12,['2023-12']
affordable homeless housing alternatives,1,1035,2023-12,['2023-12']
care for the homeless,1,1036,2023-12,['2023-12']
people of multiple faiths,1,1037,2024-01,['2024-01']
pilots,1,1038,2023-12,['2023-12']
islamic shura council,1,1039,2023-10,['2023-10']
primavera foundation,1,1040,2023-12,['2023-12']
"young, old, black and white people",1,1041,2024-01,['2024-01']
volunteers of america,1,1042,2023-12,['2023-12']
st. stephen's episcopal pro-cathedral,1,1043,2023-12,['2023-12']
bethlehem inn,1,1044,2023-12,['2023-12']
rhode island interfaith coalition to reduce poverty,1,1045,2024-01,['2024-01']
homeless solutions coalition of clackamas county,1,1046,2023-12,['2023-12']
eugene raging grannies,1,1047,2023-12,['2023-12']
tulsa day center,1,1048,2023-12,['2023-12']
living beatitudes,1,1049,2023-12,['2023-12']
gilman square neighborhood council,1,1050,2023-11,['2023-11']
homeless services network of charlotte-mecklenburg,1,1051,2023-11,['2023-11']
homeless solutions,1,1052,2023-12,['2023-12']
ame zion church of kingston,1,1053,2023-12,['2023-12']
public school defenders,1,1054,2023-11,['2023-11']
case managers,1,1055,2023-12,['2023-12']
international league of peoples struggle,1,1056,2023-11,['2023-11']
greater gallatin continuum of care,1,1057,2023-12,['2023-12']
franciscan outreach,1,1058,2023-11,['2023-11']
marbury plaza tenants united for change,1,1059,2023-11,['2023-11']
grand rapids alliance against racist and political repression,1,1060,2023-11,['2023-11']
love columbia,1,1061,2023-12,['2023-12']
ny pirg,1,1062,2023-11,['2023-11']
jacksonville tenants union,1,1063,2023-11,['2023-11']
providence preservation society,1,1064,2023-11,['2023-11']
como mobile aid,1,1065,2023-12,['2023-12']
anne arundel and annapolis coalition to end homelessness,1,1066,2023-12,['2023-12']
wvu friends of palestine,1,1067,2023-11,['2023-11']
iamc,1,1068,2023-11,['2023-11']
mjl,1,1069,2023-11,['2023-11']
workers unite,1,1070,2023-11,['2023-11']
justice for all,1,1071,2023-11,['2023-11']
northern california islamic council,1,1072,2023-11,['2023-11']
mapa,1,1073,2023-11,['2023-11']
south bay jewish voice for peace,1,1074,2023-11,['2023-11']
mit caa,1,1075,2023-11,['2023-11']
jewish voice for peace boston,1,1076,2023-11,['2023-11']
ifnotnow,1,1077,2024-01,['2024-01']
lanai tenants association,1,1078,2023-12,['2023-12']
black rose anarchist collective,1,1079,2023-11,['2023-11']
union for everyone,1,1080,2023-11,['2023-11']
ftp roc,1,1081,2024-01,['2024-01']
black outreach,1,1082,2023-12,['2023-12']
rochester dsa,1,1083,2024-01,['2024-01']
silicon valley for palestine,1,1084,2023-12,['2023-12']
60.0,1,1085,2023-11,['2023-11']
"multiracial, multi-faith coalition",1,1086,2023-11,['2023-11']
arab student organization,1,1087,2023-11,['2023-11']
community justice initiative,1,1088,2024-01,['2024-01']
fight for $15,1,1089,2023-11,['2023-11']
united graduate workers,1,1090,2023-11,['2023-11']
homeless network of yakima county,1,1091,2023-12,['2023-12']
veterans homelessness committee,1,1092,2023-12,['2023-12']
capstone community action,1,1093,2023-12,['2023-12']
american muslim voice,1,1094,2023-11,['2023-11']
win,1,1095,2023-12,['2023-12']
the episcopal diocese of new york,1,1096,2023-12,['2023-12']
interfaith palestinian advocacy organizations,1,1097,2024-01,['2024-01']
chow for ny,1,1098,2023-10,['2023-10']
streetworks project,1,1099,2023-12,['2023-12']
ny jewish clergy for justice,1,1100,2023-12,['2023-12']
community action agency somerville,1,1101,2023-10,['2023-10']
base uws,1,1102,2023-12,['2023-12']
muslim community,1,1103,2023-10,['2023-10']
