actor,occurrence_count,rank,first_appearance,unique_dates
trinity united church of christ ⊓ chicago,3,668,2020-04,['2020-04']
unitarian universalist prison ministry of illinois,3,669,2020-04,['2020-04']
south carolinians for alternatives to the death penalty,3,670,2021-06,"['2021-06', '2022-04', '2024-01']"
resist 4 return,3,671,2023-12,"['2023-12', '2024-02', '2024-05']"
newtown action alliance foundation,3,672,2022-12,"['2022-12', '2024-12']"
westside justice center,3,673,2020-04,['2020-04']
women⊙s justice institute,3,674,2020-04,['2020-04']
autonomy tucson,3,675,2022-02,"['2022-02', '2022-08', '2023-12']"
black action coalition,3,676,2020-11,"['2020-11', '2022-04', '2022-05']"
march fourth,3,677,2022-09,"['2022-09', '2023-04', '2023-12']"
blm paterson,3,678,2023-10,"['2023-10', '2024-01', '2024-08']"
karama,3,679,2023-12,"['2023-12', '2024-01', '2024-10']"
general protest,3,680,2018-09,"['2018-09', '2018-10', '2019-06']"
idaho second amendment alliance,3,681,2018-09,"['2018-09', '2020-10', '2023-10']"
and parole illinois,3,682,2020-04,['2020-04']
the jericho movement,3,683,2022-02,"['2022-02', '2024-01', '2024-08']"
act up ny,3,684,2024-06,"['2024-06', '2024-07', '2024-09']"
met council on housing,3,685,2020-10,"['2020-10', '2021-06', '2022-06']"
anti-war committee,3,686,2023-02,"['2023-02', '2023-05', '2024-04']"
libertarian party,3,687,2022-06,"['2022-06', '2022-12', '2023-02']"
oakland abolition and solidarity,3,688,2021-01,"['2021-01', '2022-12', '2023-12']"
assata⊙s daughters,3,689,2020-04,['2020-04']
twin cities coalition for justice,3,690,2023-01,"['2023-01', '2024-10', '2025-02']"
medical students for choice,3,691,2022-05,['2022-05']
utah patriots,3,692,2021-01,"['2021-01', '2021-03', '2021-12']"
cease fire pa,3,693,2023-06,['2023-06']
circles & ciphers,3,694,2020-04,['2020-04']
patriot front,3,695,2023-01,"['2023-01', '2023-10', '2024-05']"
south side workers center,3,696,2020-04,['2020-04']
guardians of divinity,3,697,2023-08,"['2023-08', '2024-04', '2024-07']"
north carolinians against gun violence,3,698,2023-06,"['2023-06', '2023-12']"
equity and transformation (eat),3,699,2020-04,['2020-04']
13th forward,3,700,2022-12,"['2022-12', '2023-05', '2023-06']"
tampa bay community action committee,3,701,2022-06,"['2022-06', '2022-07', '2023-04']"
ftp roc,3,702,2023-11,"['2023-11', '2024-03', '2024-12']"
organized communities against deportations (ocad),3,703,2020-04,['2020-04']
dolores huerta foundation,3,704,2022-06,"['2022-06', '2023-02', '2025-01']"
southsiders organized for unity and liberation (soul),3,705,2020-04,['2020-04']
curyj,3,706,2024-10,"['2024-10', '2025-01']"
chicago area peace action,3,707,2022-04,"['2022-04', '2023-07', '2025-01']"
nycaic,3,708,2022-06,"['2022-06', '2022-08', '2023-07']"
fight toxic prisons,3,709,2021-05,"['2021-05', '2022-04', '2022-07']"
women for america first,3,710,2020-12,['2020-12']
black men build,3,711,2024-09,"['2024-09', '2025-01']"
lazos,3,712,2019-08,['2019-08']
mil sonrisas,3,713,2019-08,['2019-08']
city council members,3,714,2022-04,"['2022-04', '2022-11', '2024-03']"
new labor,3,715,2019-08,['2019-08']
save our sons,3,716,2019-05,"['2019-05', '2019-06', '2020-09']"
arab american association of new york,3,717,2022-04,"['2022-04', '2022-05', '2023-06']"
the brady campaign,3,718,2017-12,"['2017-12', '2018-02', '2023-06']"
naral,3,719,2022-05,"['2022-05', '2022-06']"
labor for palestine,3,720,2023-11,"['2023-11', '2024-02', '2024-05']"
tahrir coalition,3,721,2024-03,"['2024-03', '2024-04', '2024-05']"
public defenders,3,722,2020-06,"['2020-06', '2022-09', '2023-06']"
vermont coalition for palestinian liberation,3,723,2023-12,"['2023-12', '2024-01', '2024-03']"
delaware state sportsmen's association,3,724,2021-05,"['2021-05', '2021-06', '2022-06']"
winston 4 peace,3,725,2021-04,"['2021-04', '2022-05', '2022-06']"
wind of the spirit,3,726,2019-08,['2019-08']
ilwu local 10,3,727,2021-05,"['2021-05', '2023-02', '2023-06']"
black alliance for peace atlanta,3,728,2022-06,"['2022-06', '2024-05', '2024-10']"
reset jackson,3,729,2023-06,"['2023-06', '2024-10']"
somos tejas,3,730,2022-04,"['2022-04', '2022-06', '2023-05']"
peace catalyst international,3,731,2024-03,['2024-03']
grass roots north carolina,3,732,2017-08,"['2017-08', '2018-07', '2022-06']"
safe streets,3,733,2022-04,"['2022-04', '2022-05', '2023-06']"
gender liberation movement,3,734,2024-09,"['2024-09', '2025-01']"
refund raleigh,3,735,2023-11,"['2023-11', '2023-12', '2024-02']"
never again action,3,736,2019-09,"['2019-09', '2020-04']"
amnesty international usa,3,737,2023-08,"['2023-08', '2023-09', '2023-12']"
progressive leaders of tomorrow,3,738,2019-10,"['2019-10', '2020-07', '2021-06']"
planned parenthood votes! south atlantic,3,739,2022-06,['2022-06']
partners in the struggle,3,740,2020-12,"['2020-12', '2021-05', '2024-12']"
80% coalition,3,741,2021-04,"['2021-04', '2022-05']"
iranian americans,3,742,2022-08,"['2022-08', '2022-10', '2023-09']"
youth justice coalition,3,743,2017-10,"['2017-10', '2024-04', '2024-07']"
nyc veterans for peace,3,744,2023-08,"['2023-08', '2023-09', '2023-10']"
bikers for trump,3,745,2022-08,"['2022-08', '2023-08']"
lawyers,3,746,2017-11,"['2017-11', '2020-06', '2024-01']"
cair texas,3,747,2024-05,"['2024-05', '2024-12', '2025-01']"
voice of the youth,3,748,2022-04,"['2022-04', '2023-01', '2024-06']"
school officials,3,749,2021-05,"['2021-05', '2022-04', '2024-01']"
florida prisoner solidarity,3,750,2020-12,"['2020-12', '2021-08']"
ny caring majority,3,751,2022-04,"['2022-04', '2023-03']"
friends who march,3,752,2018-02,"['2018-02', '2018-04', '2018-06']"
new jersey immigrant justice,3,753,2023-08,['2023-08']
baltimore jail support,3,754,2022-12,"['2022-12', '2023-12', '2024-12']"
uniting & healing through hope,3,755,2023-08,['2023-08']
sunrise movement,3,756,2020-11,"['2020-11', '2022-06', '2023-06']"
louisville showing up for racial justice,3,757,2017-12,"['2017-12', '2022-03', '2023-01']"
psl finger lakes,3,758,2024-09,"['2024-09', '2025-01', '2025-02']"
faith in new jersey,3,759,2022-04,"['2022-04', '2023-08']"
psl chicago,3,760,2022-05,"['2022-05', '2022-09', '2023-01']"
heeding god's call to end gun violence,3,761,2022-12,"['2022-12', '2023-05', '2023-07']"
gettysburg for gun sense,3,762,2017-06,"['2017-06', '2018-12', '2023-05']"
human rights coalition pa,3,763,2021-06,"['2021-06', '2021-09', '2021-12']"
students and teachers,3,764,2018-02,['2018-02']
malaya movement,3,765,2023-11,"['2023-11', '2024-11']"
showing up for racial justice in buffalo,3,766,2017-05,['2017-05']
vocal ny,3,767,2021-04,"['2021-04', '2021-08', '2021-11']"
victims,3,768,2022-12,"['2022-12', '2023-03', '2023-11']"
international action center,3,769,2018-01,"['2018-01', '2021-09', '2024-12']"
new yorkers against gun violence,3,770,2019-08,"['2019-08', '2022-02', '2022-06']"
dc vote,3,771,2022-06,"['2022-06', '2023-08', '2024-01']"
reclaim pride coalition,3,772,2022-06,"['2022-06', '2024-06', '2024-07']"
black on black crime inc.,3,773,2022-04,"['2022-04', '2023-06', '2025-01']"
cso orange county,3,774,2023-08,"['2023-08', '2024-11', '2025-01']"
warriors in the garden,3,775,2023-05,"['2023-05', '2023-10']"
black panther party,3,776,2021-05,"['2021-05', '2023-12', '2024-03']"
philly black mamas of the philadelphia community bail fund,3,777,2021-04,"['2021-04', '2021-05']"
everytown for gun sense,3,778,2022-06,['2022-06']
aqe new york,3,779,2022-08,"['2022-08', '2023-03', '2025-01']"
hips,3,780,2020-06,"['2020-06', '2022-08']"
tacoma dsa,3,781,2023-11,"['2023-11', '2024-03']"
trump supporters,3,782,2018-02,"['2018-02', '2020-02', '2025-01']"
abolitionist action committee,3,783,2019-06,"['2019-06', '2019-07', '2022-01']"
racial justice coalition of san diego,3,784,2023-01,"['2023-01', '2023-03', '2023-10']"
stop handgun violence,3,785,2018-02,"['2018-02', '2023-03', '2023-12']"
radical women,3,786,2024-03,"['2024-03', '2024-08', '2024-10']"
miami valley abolitionists,3,787,2022-12,"['2022-12', '2023-01', '2023-08']"
fosna,3,788,2023-11,"['2023-11', '2023-12']"
members of the community,3,789,2021-05,"['2021-05', '2022-01', '2022-11']"
save our schools from gun violence,3,790,2018-04,['2018-04']
crazy faith ministries,3,791,2021-08,['2021-08']
charlotte uprising,3,792,2020-09,"['2020-09', '2020-12']"
national religious campaign against torture,3,793,2022-10,"['2022-10', '2023-08', '2023-09']"
cuyahoga county progressive caucus,3,794,2021-08,['2021-08']
ordinary people society,3,795,2021-02,['2021-02']
end poverty now!,3,796,2021-08,['2021-08']
faith in public life,3,797,2021-08,['2021-08']
greene county voices,3,798,2021-08,['2021-08']
kalyan foundation,3,799,2021-08,['2021-08']
ia,3,800,2018-03,['2018-03']
voices of the emancipated,3,801,2023-04,"['2023-04', '2025-03']"
our voices together,3,802,2021-08,['2021-08']
"seiu, local 1, southern ohio",3,803,2021-08,['2021-08']
simply living,3,804,2021-08,['2021-08']
social justice committee - iaco,3,805,2021-08,['2021-08']
socialist alternative columbus,3,806,2021-08,['2021-08']
span,3,807,2021-08,['2021-08']
ohio students for gun legislation,3,808,2021-08,['2021-08']
abolishmke,3,809,2021-08,"['2021-08', '2021-09', '2021-12']"
students for justice in palestine chicago,3,810,2022-10,"['2022-10', '2023-04', '2024-06']"
elmer geronimo pratt gun club,3,811,2021-10,"['2021-10', '2022-09', '2023-05']"
league of women voters ohio,3,812,2021-08,['2021-08']
pittsburgh palestine coalition,3,813,2024-01,"['2024-01', '2024-03']"
ct john brown gun club,3,814,2023-02,"['2023-02', '2023-11', '2025-01']"
united native americans,3,815,2021-11,"['2021-11', '2022-10', '2024-07']"
national justice party,3,816,2023-03,"['2023-03', '2023-04', '2023-11']"
tn student solidarity network,3,817,2024-02,"['2024-02', '2024-03']"
west virginia poor people's campaign,3,818,2023-03,"['2023-03', '2023-09']"
general defense committee,3,819,2024-02,"['2024-02', '2024-04', '2025-01']"
ministers,3,820,2022-06,"['2022-06', '2023-06', '2024-03']"
jr. newtown action alliance,3,821,2018-06,"['2018-06', '2019-06', '2022-06']"
black outreach,3,822,2021-11,"['2021-11', '2023-11', '2024-01']"
dmv coalition of students for justice in palestine,3,823,2024-04,"['2024-04', '2024-05']"
513 impact coalition,3,824,2021-08,['2021-08']
second amendment march,3,825,2020-09,"['2020-09', '2021-09', '2024-09']"
all of us or none,3,826,2021-11,"['2021-11', '2022-05', '2024-10']"
exonerees,3,827,2021-11,"['2021-11', '2022-01', '2024-09']"
nyc city workers for palestine,3,828,2024-01,"['2024-01', '2024-02']"
westchester for palestine,3,829,2024-01,"['2024-01', '2024-04', '2024-07']"
doctors,3,830,2021-10,"['2021-10', '2023-03', '2024-01']"
"party for socialism and liberation - columbia, sc",3,831,2021-08,"['2021-08', '2021-09']"
truth pharm,3,832,2020-07,"['2020-07', '2021-04', '2021-06']"
afscme,3,833,2021-10,"['2021-10', '2024-08', '2024-10']"
rockland for palestine,3,834,2024-01,"['2024-01', '2024-04', '2024-07']"
columbus stand up unitarian universalist justice ohio,3,835,2021-08,['2021-08']
denver dsa,3,836,2022-07,"['2022-07', '2023-06', '2025-01']"
take our border back convoy,3,837,2024-02,['2024-02']
sjp chicago,3,838,2024-04,"['2024-04', '2025-01']"
on earth peace,3,839,2023-07,"['2023-07', '2023-12', '2024-07']"
community,3,840,2023-04,"['2023-04', '2023-08', '2023-10']"
the ordinary people society,3,841,2021-03,"['2021-03', '2023-03']"
close rikers,3,842,2021-09,"['2021-09', '2022-10', '2024-03']"
st. paul's episcopal church,3,843,2022-05,"['2022-05', '2022-06', '2022-11']"
us palestinian community network,3,844,2021-09,"['2021-09', '2022-01', '2023-07']"
immigrant defense project,3,845,2022-11,"['2022-11', '2023-04', '2025-01']"
nurses,3,846,2021-09,"['2021-09', '2022-05']"
legal action center,3,847,2021-09,"['2021-09', '2022-04', '2023-01']"
texas for palestine,3,848,2024-02,"['2024-02', '2024-12', '2025-01']"
queer youth assemble,3,849,2023-03,"['2023-03', '2023-07']"
psl seattle,3,850,2024-01,"['2024-01', '2024-08', '2024-09']"
denton bail fund,3,851,2022-07,"['2022-07', '2022-11', '2024-01']"
naacp of north carolina,3,852,2021-09,['2021-09']
prison reform advocates,3,853,2020-08,"['2020-08', '2021-10', '2024-03']"
freeher vermont,3,854,2023-07,"['2023-07', '2024-01', '2025-02']"
high schoolers,3,855,2022-05,"['2022-05', '2022-06', '2024-08']"
ut,3,856,2018-03,['2018-03']
pro humanity network,3,857,2024-01,"['2024-01', '2024-02', '2024-04']"
tennessee student solidarity network,3,858,2023-04,"['2023-04', '2024-03']"
bangladeshi americans for political progress,3,859,2024-01,"['2024-01', '2024-02', '2025-01']"
legal aid society,3,860,2021-09,"['2021-09', '2022-03', '2025-02']"
icna,3,861,2024-02,"['2024-02', '2024-04', '2024-05']"
save our streets,3,862,2024-01,"['2024-01', '2024-06', '2024-09']"
super uw,3,863,2023-10,"['2023-10', '2024-01', '2024-02']"
cleveland peace action,3,864,2023-10,"['2023-10', '2023-12', '2024-07']"
existence is resistance,3,865,2023-10,"['2023-10', '2023-12', '2024-01']"
community advocates,3,866,2023-07,"['2023-07', '2023-10']"
latinos unidos siempre,3,867,2022-05,"['2022-05', '2022-06', '2023-05']"
gun violence victims,3,868,2021-10,"['2021-10', '2022-10', '2024-06']"
mexicanos unidos,3,869,2021-02,"['2021-02', '2024-01']"
drag queens,3,870,2023-03,"['2023-03', '2023-04']"
anti-defamation league,3,871,2022-11,"['2022-11', '2022-12', '2023-08']"
shut down elbit south florida,3,872,2024-07,"['2024-07', '2024-10', '2024-12']"
ny4palestine,3,873,2023-10,"['2023-10', '2023-11']"
ri second amendment coalition,3,874,2018-04,"['2018-04', '2022-06']"
open carry texas,3,875,2018-04,"['2018-04', '2021-10', '2022-01']"
junior newtown action alliance,3,876,2023-03,"['2023-03', '2023-08', '2023-09']"
fsu college democrats,3,877,2021-02,"['2021-02', '2022-06', '2023-02']"
free them all san diego,3,878,2022-05,['2022-05']
la resistencia nw,3,879,2021-09,"['2021-09', '2023-05', '2025-01']"
ijan,3,880,2023-10,"['2023-10', '2023-12']"
mothers standing against gun violence,3,881,2021-02,"['2021-02', '2022-06', '2022-07']"
delaware gun rights,3,882,2018-03,"['2018-03', '2021-05', '2021-06']"
national rifle association,3,883,2018-03,"['2018-03', '2021-06', '2023-09']"
union members,3,884,2023-07,"['2023-07', '2024-02', '2024-06']"
boston coalition for palestine,3,885,2023-10,"['2023-10', '2024-03', '2025-03']"
boston south asian coalition,3,886,2023-10,"['2023-10', '2023-11', '2023-12']"
triangle stop cop city,3,887,2023-12,"['2023-12', '2024-06', '2024-08']"
building up people not prisons,3,888,2021-07,['2021-07']
fsfapv,3,889,2022-09,"['2022-09', '2023-02', '2023-08']"
sot el zaytoon,3,890,2024-01,"['2024-01', '2024-02']"
visibility brigade,3,891,2022-05,"['2022-05', '2023-02', '2023-03']"
harvey milk lgbtq democratic club,3,892,2022-11,"['2022-11', '2023-04', '2023-07']"
first united methodist church,3,893,2022-05,"['2022-05', '2022-11']"
international league of peoples struggles,3,894,2024-01,"['2024-01', '2024-03', '2024-07']"
kc mothers in charge,3,895,2022-06,"['2022-06', '2024-02', '2024-12']"
immigrant detainees,3,896,2022-09,['2022-09']
new beginnings,3,897,2021-07,['2021-07']
super,3,898,2023-10,"['2023-10', '2023-11']"
coyote ri,3,899,2021-07,"['2021-07', '2022-06']"
casa,3,900,2021-07,"['2021-07', '2022-03', '2022-06']"
women's march cleveland,3,901,2021-01,"['2021-01', '2022-06', '2025-01']"
civil seed tucson,3,902,2022-05,"['2022-05', '2022-11', '2023-03']"
mothers against gun violence,3,903,2020-10,"['2020-10', '2022-06', '2023-07']"
turning point action,3,904,2023-02,"['2023-02', '2023-07']"
sista fire,3,905,2021-07,"['2021-07', '2024-03']"
families supporting families against police violence,3,906,2021-12,"['2021-12', '2022-02', '2023-01']"
healthcare professionals,3,907,2023-05,"['2023-05', '2023-07', '2023-11']"
artists,3,908,2020-07,"['2020-07', '2023-06', '2024-02']"
sjp osu,3,909,2024-08,"['2024-08', '2024-09']"
neveragainca,3,910,2018-07,"['2018-07', '2019-12', '2020-09']"
service to the people,3,911,2021-11,"['2021-11', '2021-12', '2022-02']"
caaav,3,912,2020-11,"['2020-11', '2022-03', '2023-03']"
solidarity coalition stl metro east,3,913,2024-03,"['2024-03', '2024-05']"
ifnotnow,3,914,2023-12,"['2023-12', '2024-02', '2024-05']"
fund excluded workers coalition,3,915,2021-08,"['2021-08', '2023-01', '2023-05']"
micah,3,916,2021-07,['2021-07']
the new pride agenda,3,917,2024-07,"['2024-07', '2024-09', '2025-01']"
bamn,3,918,2022-06,['2022-06']
rhode island john brown gun club,3,919,2023-10,"['2023-10', '2023-11', '2024-06']"
ensuring parole for incarcerated citizens,3,920,2020-10,"['2020-10', '2022-10', '2023-10']"
student,3,921,2018-03,"['2018-03', '2018-04']"
purpose over pain,3,922,2022-06,"['2022-06', '2023-06', '2023-12']"
westside activists,3,923,2022-05,"['2022-05', '2022-07', '2025-04']"
dc for palestine,3,924,2025-01,['2025-01']
justice 4 housing,3,925,2021-07,['2021-07']
ukrainians,3,926,2023-02,"['2023-02', '2023-07']"
hand in hand,3,927,2018-06,"['2018-06', '2023-03']"
colorado ceasefire,3,928,2021-03,"['2021-03', '2022-12', '2024-04']"
antifascist action,3,929,2021-01,"['2021-01', '2021-02', '2021-12']"
north carolina green party,3,930,2023-12,"['2023-12', '2024-02', '2025-03']"
outlive them nyc,3,931,2021-03,"['2021-03', '2021-09', '2023-01']"
aarw,3,932,2021-07,['2021-07']
psl salt lake,3,933,2023-10,"['2023-10', '2024-03', '2024-10']"
the people's plan nyc,3,934,2022-06,"['2022-06', '2023-03', '2025-01']"
visual black justice,2,935,2021-01,"['2021-01', '2022-02']"
be their voices,2,936,2021-03,"['2021-03', '2023-08']"
freedom socialist party,2,937,2023-06,"['2023-06', '2024-10']"
nyc workers for a free palestine,2,938,2024-05,"['2024-05', '2024-09']"
dorchester people for peace,2,939,2024-05,"['2024-05', '2024-11']"
planned parenthood south atlantic,2,940,2022-06,"['2022-06', '2023-05']"
jvp westchester,2,941,2024-04,"['2024-04', '2024-07']"
the people's plan,2,942,2023-06,['2023-06']
re-imagine la county,2,943,2022-06,"['2022-06', '2024-07']"
texas rise up 4 abortion rights,2,944,2022-06,['2022-06']
economic justice coalition,2,945,2021-04,"['2021-04', '2021-08']"
milwaukee anti-war committee,2,946,2024-04,"['2024-04', '2025-01']"
mid-missouri fellowship of reconciliation,2,947,2021-01,"['2021-01', '2023-02']"
spaces in action,2,948,2020-12,"['2020-12', '2022-06']"
el pueblo,2,949,2022-06,"['2022-06', '2023-12']"
every town for gun safety,2,950,2021-04,"['2021-04', '2023-01']"
frso chicago,2,951,2024-04,"['2024-04', '2024-08']"
ohio says no,2,952,2021-04,['2021-04']
united national anti-war coalition,2,953,2024-04,"['2024-04', '2024-12']"
students united for palestinian equal rights,2,954,2024-05,"['2024-05', '2024-09']"
lower hudson valley dsa,2,955,2024-04,"['2024-04', '2024-07']"
nj 11th for palestine,2,956,2024-04,"['2024-04', '2025-01']"
heal the community,2,957,2021-03,"['2021-03', '2023-03']"
uconn sjp,2,958,2024-06,"['2024-06', '2024-08']"
"we, united",2,959,2024-04,"['2024-04', '2024-07']"
justice for nickolas lee,2,960,2021-04,['2021-04']
young communist league,2,961,2022-06,"['2022-06', '2023-10']"
we will return,2,962,2024-06,"['2024-06', '2024-08']"
resistor sisterhood,2,963,2022-06,"['2022-06', '2022-10']"
morris county democratic committee,2,964,2022-06,"['2022-06', '2023-05']"
local elected officials,2,965,2021-04,"['2021-04', '2023-10']"
ct palestine solidarity coalition,2,966,2024-06,"['2024-06', '2024-09']"
psl columbus,2,967,2024-05,"['2024-05', '2024-09']"
connecticut bail fund,2,968,2020-11,"['2020-11', '2021-11']"
boston psl,2,969,2022-06,"['2022-06', '2024-03']"
tikkun chai inter-national,2,970,2021-01,"['2021-01', '2025-01']"
leonard peltier support group silicon valley,2,971,2023-06,"['2023-06', '2024-09']"
nikkei uprising,2,972,2021-04,"['2021-04', '2024-11']"
anti-police terror project,2,973,2021-01,"['2021-01', '2021-12']"
building it together ct,2,974,2020-11,"['2020-11', '2021-11']"
uaw 2865,2,975,2023-07,"['2023-07', '2024-02']"
new york community action project,2,976,2021-01,"['2021-01', '2023-04']"
brooklyn eviction defense,2,977,2022-06,"['2022-06', '2023-05']"
students for gun legislation,2,978,2021-02,"['2021-02', '2022-06']"
midwest books to prisoners,2,979,2023-07,"['2023-07', '2023-12']"
indivisible conejo,2,980,2022-06,['2022-06']
el paso young democrats,2,981,2021-03,"['2021-03', '2022-05']"
hawai'i abolition collective,2,982,2020-12,"['2020-12', '2021-01']"
riders for black lives,2,983,2021-04,"['2021-04', '2022-07']"
democrats,2,984,2021-03,"['2021-03', '2021-06']"
colorado springs dsa,2,985,2024-04,"['2024-04', '2025-01']"
left voice,2,986,2022-06,"['2022-06', '2023-01']"
imperial women coalition,2,987,2021-01,"['2021-01', '2025-01']"
hawai'i peace and justice,2,988,2020-12,"['2020-12', '2021-01']"
worker's assembly against racism,2,989,2021-01,['2021-01']
virginia expungement council,2,990,2021-02,['2021-02']
seattle revolutionary socialists,2,991,2024-03,"['2024-03', '2025-01']"
students allied for freedom and equality,2,992,2024-04,"['2024-04', '2025-02']"
haltsolitary,2,993,2021-02,['2021-02']
live free,2,994,2021-03,"['2021-03', '2022-06']"
decarcerate now coalition,2,995,2020-12,"['2020-12', '2021-01']"
northern new jersey sanctuary coalition,2,996,2023-06,"['2023-06', '2023-07']"
students across the dmv,2,997,2024-04,"['2024-04', '2024-05']"
communities not prisons,2,998,2021-03,"['2021-03', '2021-09']"
pansy collective,2,999,2020-12,"['2020-12', '2022-12']"
wagner students 4 palestine,2,1000,2024-04,"['2024-04', '2024-05']"
planned parenthood central coast action fund,2,1001,2022-06,"['2022-06', '2025-01']"
students deserve,2,1002,2024-04,"['2024-04', '2024-07']"
international league of people's struggle,2,1003,2023-07,"['2023-07', '2023-08']"
campaign for new york health,2,1004,2021-04,['2021-04']
new jersey prison justice watch,2,1005,2021-03,"['2021-03', '2021-12']"
young women's freedom center,2,1006,2024-04,"['2024-04', '2024-07']"
nc-plwc,2,1007,2020-12,"['2020-12', '2021-01']"
safe,2,1008,2023-07,"['2023-07', '2024-05']"
tallahassee citizens against the death penalty,2,1009,2023-06,['2023-06']
southern workers assembly,2,1010,2022-06,"['2022-06', '2023-12']"
mission peace collaborative,2,1011,2023-06,['2023-06']
revolutionary sound,2,1012,2021-02,"['2021-02', '2021-03']"
make the road action,2,1013,2020-12,"['2020-12', '2025-04']"
dc project,2,1014,2021-02,"['2021-02', '2023-08']"
unequolada,2,1015,2024-03,"['2024-03', '2024-05']"
free the people rochester,2,1016,2020-12,"['2020-12', '2024-03']"
american friends service committee of new hampshire,2,1017,2020-12,"['2020-12', '2021-08']"
union for everyone,2,1018,2022-06,"['2022-06', '2024-01']"
community liberation network,2,1019,2024-05,"['2024-05', '2024-10']"
gate city coalition,2,1020,2023-07,"['2023-07', '2024-03']"
native lives matter,2,1021,2021-01,"['2021-01', '2023-01']"
march on the dnc 2024,2,1022,2024-05,"['2024-05', '2025-01']"
new york state correctional officers police benevolent association,2,1023,2021-01,"['2021-01', '2021-12']"
women's march rockford,2,1024,2021-01,"['2021-01', '2025-01']"
people of all ages and backgrounds,2,1025,2022-06,"['2022-06', '2023-11']"
black lives matter twin cities metro,2,1026,2021-01,"['2021-01', '2023-08']"
reject raytheon avl,2,1027,2024-05,"['2024-05', '2024-08']"
grassroots collaborative,2,1028,2021-04,"['2021-04', '2022-05']"
beldaan,2,1029,2024-03,"['2024-03', '2024-05']"
national council of churches,2,1030,2023-06,"['2023-06', '2024-06']"
build,2,1031,2021-04,"['2021-04', '2024-06']"
vietlead,2,1032,2020-12,"['2020-12', '2021-07']"
family of dustin higgs,2,1033,2021-01,['2021-01']
down home north carolina,2,1034,2021-01,"['2021-01', '2021-05']"
union of southern service workers,2,1035,2024-05,"['2024-05', '2024-06']"
republican party,2,1036,2020-12,"['2020-12', '2021-10']"
chicago democratic socialists of america,2,1037,2021-04,"['2021-04', '2022-05']"
houston for palestinian liberation,2,1038,2024-04,"['2024-04', '2024-12']"
dare,2,1039,2021-04,"['2021-04', '2024-12']"
sikh coalition,2,1040,2021-04,"['2021-04', '2022-08']"
"students, community members",2,1041,2022-05,"['2022-05', '2024-02']"
migrant roots media,2,1042,2023-12,"['2023-12', '2024-02']"
churchgoers,2,1043,2022-05,"['2022-05', '2022-06']"
newtown interfaith council,2,1044,2022-05,['2022-05']
artist initiative for revolution,2,1045,2022-05,['2022-05']
pacifist youth movement,2,1046,2023-12,"['2023-12', '2024-01']"
mapinduzi,2,1047,2022-01,"['2022-01', '2023-12']"
stop lapd spying,2,1048,2023-10,"['2023-10', '2024-11']"
demilitarize! atlanta 2 palestine,2,1049,2024-02,"['2024-02', '2024-10']"
locals,2,1050,2022-01,"['2022-01', '2023-09']"
gem city action,2,1051,2024-01,"['2024-01', '2024-03']"
greater dayton peace coalition,2,1052,2024-01,"['2024-01', '2024-03']"
north carolina environmental justice network,2,1053,2023-10,"['2023-10', '2024-02']"
cape fear proud boys,2,1054,2024-01,"['2024-01', '2024-04']"
lal morich,2,1055,2024-01,"['2024-01', '2024-02']"
anarchist black cross,2,1056,2021-12,"['2021-12', '2022-12']"
yemeni alliance committee,2,1057,2024-01,"['2024-01', '2024-02']"
others,2,1058,2022-05,"['2022-05', '2022-06']"
people's rights,2,1059,2022-01,"['2022-01', '2024-06']"
peace united church of christ,2,1060,2022-05,['2022-05']
iowa firearms coalition,2,1061,2022-02,"['2022-02', '2023-02']"
reverends,2,1062,2022-05,"['2022-05', '2024-02']"
new virginia majority,2,1063,2022-02,"['2022-02', '2022-06']"
march for freedom wa,2,1064,2022-02,"['2022-02', '2024-04']"
detroit jericho,2,1065,2023-12,"['2023-12', '2024-04']"
arizona citizens defense league,2,1066,2022-02,"['2022-02', '2023-02']"
protect the people,2,1067,2022-02,"['2022-02', '2022-03']"
umn students for a democratic society,2,1068,2022-02,"['2022-02', '2022-06']"
mn teen activists,2,1069,2022-02,"['2022-02', '2022-05']"
rabbis,2,1070,2022-05,"['2022-05', '2023-06']"
wisconsin labor for palestine,2,1071,2023-12,"['2023-12', '2024-09']"
palestinian americans,2,1072,2023-12,"['2023-12', '2024-10']"
civil seed,2,1073,2022-02,"['2022-02', '2022-03']"
leonard peltier defense committee,2,1074,2022-02,"['2022-02', '2023-02']"
islamic center of san diego,2,1075,2023-12,"['2023-12', '2024-01']"
adc san diego,2,1076,2023-12,"['2023-12', '2024-01']"
muslim women for,2,1077,2023-12,"['2023-12', '2024-02']"
minnesota justice coalition,2,1078,2022-02,"['2022-02', '2023-08']"
ice breakers,2,1079,2021-11,"['2021-11', '2023-07']"
palestine solidarity alliance,2,1080,2024-01,"['2024-01', '2024-02']"
black alliance for peace philadelphia,2,1081,2024-01,"['2024-01', '2024-08']"
religious and community leaders,2,1082,2022-05,"['2022-05', '2022-06']"
idoc watch,2,1083,2021-10,"['2021-10', '2022-03']"
students for life,2,1084,2024-01,"['2024-01', '2024-03']"
woman,2,1085,2021-10,"['2021-10', '2022-11']"
cair california,2,1086,2024-01,"['2024-01', '2024-02']"
better portland,2,1087,2021-12,"['2021-12', '2023-04']"
southwest coalition for palestine,2,1088,2023-10,"['2023-10', '2023-11']"
vermont psl,2,1089,2024-01,"['2024-01', '2024-03']"
muslim students association,2,1090,2023-10,['2023-10']
