actor,occurrence_count,rank,first_appearance,unique_dates
charlottesville democrats,2,1775,2022-05,"['2022-05', '2022-06']"
elders climate action,2,1776,2023-09,"['2023-09', '2025-04']"
planned parenthood votes! rhode island,2,1777,2022-05,"['2022-05', '2022-06']"
"red, wine and blue",2,1778,2022-05,"['2022-05', '2023-01']"
nurses of pennsylvania,2,1779,2022-05,"['2022-05', '2023-05']"
women's march pittsburgh,2,1780,2022-05,"['2022-05', '2022-06']"
women for racial and economic equality,2,1781,2022-05,"['2022-05', '2023-01']"
national council of jewish women,2,1782,2022-05,"['2022-05', '2023-01']"
oil & gas action network,2,1783,2022-04,"['2022-04', '2024-09']"
extinction rebellion san francisco bay,2,1784,2022-04,"['2022-04', '2023-09']"
life runners,2,1785,2022-04,"['2022-04', '2024-01']"
palestinians,2,1786,2023-10,"['2023-10', '2024-02']"
care not cops,2,1787,2022-04,"['2022-04', '2022-05']"
rwdsu,2,1788,2022-04,"['2022-04', '2022-10']"
muslims,2,1789,2023-10,"['2023-10', '2024-03']"
protect our children ny,2,1790,2023-10,"['2023-10', '2024-01']"
arabs in utah,2,1791,2023-10,"['2023-10', '2024-03']"
ct students for a dream,2,1792,2022-04,"['2022-04', '2023-03']"
hartford deportation defense,2,1793,2022-04,"['2022-04', '2023-03']"
faith in new jersey,2,1794,2022-04,"['2022-04', '2023-03']"
sonoma county for palestine,2,1795,2023-10,"['2023-10', '2024-01']"
physicians for a national health plan,2,1796,2022-04,"['2022-04', '2025-01']"
majlis ash-shura,2,1797,2023-10,"['2023-10', '2024-01']"
professionals,2,1798,2022-05,['2022-05']
last chance alliance,2,1799,2022-04,"['2022-04', '2022-11']"
child care workers,2,1800,2022-04,"['2022-04', '2023-04']"
aclu texas,2,1801,2022-04,"['2022-04', '2023-03']"
national students for justice in palestine,2,1802,2023-11,"['2023-11', '2024-08']"
ndn collective,2,1803,2023-11,"['2023-11', '2024-08']"
louisville showing up for racial justice,2,1804,2022-03,"['2022-03', '2022-05']"
aclu of kentucky,2,1805,2022-03,"['2022-03', '2024-02']"
the bail project,2,1806,2022-03,['2022-03']
dignity & power now,2,1807,2022-03,"['2022-03', '2022-06']"
essie justice group,2,1808,2022-03,"['2022-03', '2022-06']"
nyc-dsa,2,1809,2022-03,"['2022-03', '2023-05']"
strong economy for all coalition,2,1810,2022-03,"['2022-03', '2022-12']"
cooks,2,1811,2022-03,"['2022-03', '2022-12']"
breathe project,2,1812,2023-11,"['2023-11', '2024-04']"
familias unidas por la justicia,2,1813,2022-03,"['2022-03', '2024-05']"
jvp at ucsf,2,1814,2024-09,"['2024-09', '2024-10']"
technical specialists,2,1815,2022-05,['2022-05']
chelsea's fund,2,1816,2022-05,"['2022-05', '2022-07']"
fund texas choice,2,1817,2022-05,"['2022-05', '2022-06']"
psl dfw,2,1818,2022-05,"['2022-05', '2024-09']"
abortion forever pgh,2,1819,2023-09,"['2023-09', '2024-02']"
east end action network,2,1820,2022-05,"['2022-05', '2025-02']"
805 patriots,2,1821,2023-09,"['2023-09', '2024-03']"
indivisible mass coalition,2,1822,2023-09,"['2023-09', '2025-04']"
i be black girl,2,1823,2022-05,"['2022-05', '2022-07']"
triangle abortion access coalition,2,1824,2022-05,"['2022-05', '2022-06']"
planned parenthood advocates of montana,2,1825,2022-05,"['2022-05', '2023-04']"
aclu of minnesota,2,1826,2022-05,"['2022-05', '2022-07']"
ohioans united for reproductive rights,2,1827,2023-10,['2023-10']
ula,2,1828,2022-05,"['2022-05', '2023-12']"
unidad latina en accion,2,1829,2022-05,"['2022-05', '2022-06']"
codepink women for peace,2,1830,2022-04,"['2022-04', '2023-01']"
denver dsa,2,1831,2022-05,"['2022-05', '2022-06']"
sactivists,2,1832,2022-05,"['2022-05', '2022-07']"
rich city rays,2,1833,2023-10,"['2023-10', '2024-05']"
mlk labor,2,1834,2022-05,"['2022-05', '2022-10']"
ufcw 3000,2,1835,2022-05,"['2022-05', '2022-10']"
frente socialista,2,1836,2022-05,"['2022-05', '2023-10']"
laundry workers center,2,1837,2022-05,"['2022-05', '2023-03']"
the people's vaccine,2,1838,2022-04,"['2022-04', '2022-12']"
faith in indiana,2,1839,2022-04,"['2022-04', '2023-02']"
women's voices of sw florida,2,1840,2022-04,"['2022-04', '2022-05']"
humboldt freedom coalition,2,1841,2022-04,"['2022-04', '2022-10']"
rhode island freedom fighters,2,1842,2022-04,"['2022-04', '2022-05']"
turning point usa faith,2,1843,2023-10,"['2023-10', '2024-10']"
poor magazine,2,1844,2022-04,"['2022-04', '2024-12']"
local clean energy alliance,2,1845,2022-04,"['2022-04', '2023-03']"
tucson anti-war committee,2,1846,2023-10,"['2023-10', '2023-12']"
black and brown united in action,2,1847,2021-01,"['2021-01', '2021-03']"
boston independent socialist group,2,1848,2021-01,"['2021-01', '2023-05']"
general ralliers,2,1849,2018-04,"['2018-04', '2018-10']"
kalikasan solidarity organization,2,1850,2025-01,"['2025-01', '2025-04']"
cara,2,1851,2021-08,"['2021-08', '2021-09']"
cherry city collective,2,1852,2021-07,"['2021-07', '2021-08']"
jaj,2,1853,2021-05,['2021-05']
empower dc,2,1854,2020-06,"['2020-06', '2023-07']"
network for public education action,2,1855,2021-05,['2021-05']
high desert healthcare for freedom,2,1856,2021-08,['2021-08']
upte-cwa 9119,2,1857,2025-02,['2025-02']
covid survivors for change,2,1858,2021-08,['2021-08']
indivisible nky district 4,2,1859,2017-06,"['2017-06', '2017-07']"
new jersey working families alliance,2,1860,2017-07,"['2017-07', '2021-03']"
firelands indivisible,2,1861,2025-04,['2025-04']
the frontline,2,1862,2020-10,"['2020-10', '2025-01']"
palm beach indivisible,2,1863,2025-04,['2025-04']
indivisible omak,2,1864,2025-04,['2025-04']
the center for popular democracy,2,1865,2021-05,['2021-05']
alliance for educational justice,2,1866,2021-05,['2021-05']
idaho liberty dogs,2,1867,2021-07,"['2021-07', '2021-09']"
south central federation of labor,2,1868,2017-07,"['2017-07', '2023-11']"
troup county medical society,2,1869,2021-07,"['2021-07', '2021-08']"
teens,2,1870,2021-08,"['2021-08', '2024-04']"
act up new york,2,1871,2021-03,"['2021-03', '2022-06']"
seattle martin luther king jr. organizing coalition,2,1872,2021-01,"['2021-01', '2025-01']"
guardian angels,2,1873,2021-08,"['2021-08', '2023-08']"
indivisible freeport,2,1874,2025-04,['2025-04']
twin cities coalition for justice 4 jamar,2,1875,2020-11,"['2020-11', '2024-01']"
acce action,2,1876,2024-12,['2024-12']
stand up michigan,2,1877,2021-08,"['2021-08', '2021-11']"
youth against war & racism,2,1878,2020-11,"['2020-11', '2023-01']"
let them play,2,1879,2021-08,"['2021-08', '2021-09']"
nj stands up,2,1880,2021-05,"['2021-05', '2021-12']"
madison teachers inc.,2,1881,2017-07,"['2017-07', '2024-04']"
indivisible springfield,2,1882,2017-05,"['2017-05', '2025-04']"
metro dc democratic socialists of america,2,1883,2020-06,"['2020-06', '2020-12']"
state representatives,2,1884,2021-08,['2021-08']
political candidates,2,1885,2021-08,"['2021-08', '2022-05']"
healthcare advocates,2,1886,2021-03,"['2021-03', '2023-03']"
do no harm,2,1887,2024-10,"['2024-10', '2024-12']"
staffers,2,1888,2021-04,"['2021-04', '2022-10']"
our revolution new jersey,2,1889,2021-03,"['2021-03', '2021-09']"
michigan people's campaign,2,1890,2017-02,"['2017-02', '2017-05']"
medical providers,2,1891,2021-05,"['2021-05', '2024-06']"
justice for all ventura county,2,1892,2020-10,"['2020-10', '2023-01']"
western pa coalition for single payer healthcare,2,1893,2020-10,"['2020-10', '2021-07']"
union de vecinos,2,1894,2025-01,['2025-01']
crowd pow wow proud,2,1895,2019-09,"['2019-09', '2019-10']"
defend democracy coalition,2,1896,2021-01,['2021-01']
united food and commercial workers local 400,2,1897,2020-10,"['2020-10', '2021-07']"
unite here,2,1898,2020-07,['2020-07']
greenwich patriots,2,1899,2021-06,['2021-06']
indivisible charlottesville,2,1900,2018-02,"['2018-02', '2022-05']"
metro justice,2,1901,2020-10,"['2020-10', '2025-01']"
tea party patriots,2,1902,2017-03,"['2017-03', '2017-09']"
reclaim idaho,2,1903,2019-02,"['2019-02', '2025-04']"
alameda county coalition for healthy communities,2,1904,2020-07,['2020-07']
indivisible brandon,2,1905,2025-04,['2025-04']
general protester,2,1906,2017-03,"['2017-03', '2020-07']"
women of michigan action network (woman),2,1907,2025-04,['2025-04']
indivisible sonoma county,2,1908,2017-07,"['2017-07', '2025-04']"
black action coalition,2,1909,2020-10,"['2020-10', '2021-01']"
youth organizers,2,1910,2021-06,"['2021-06', '2024-02']"
speaking up for america,2,1911,2025-04,['2025-04']
recovery for all,2,1912,2021-03,"['2021-03', '2021-05']"
mamalitia,2,1913,2021-08,"['2021-08', '2021-11']"
evergreen resistance,2,1914,2025-04,['2025-04']
vermont liberty network,2,1915,2021-05,"['2021-05', '2021-09']"
connecticut education association,2,1916,2021-03,"['2021-03', '2021-05']"
mgb housestaff united,2,1917,2024-12,['2024-12']
clients,2,1918,2021-07,"['2021-07', '2023-01']"
westfield 20/20,2,1919,2017-07,"['2017-07', '2022-05']"
all rise alameda,2,1920,2025-01,['2025-01']
students for a national health program,2,1921,2018-03,"['2018-03', '2021-11']"
ozark indivisible,2,1922,2017-02,"['2017-02', '2017-05']"
democratic party,2,1923,2021-06,"['2021-06', '2025-04']"
dayton indivisible for all,2,1924,2017-03,"['2017-03', '2017-07']"
seiu district 1199 new england,2,1925,2021-02,"['2021-02', '2021-05']"
health care advocates,2,1926,2017-01,"['2017-01', '2023-04']"
health professionals,2,1927,2021-08,"['2021-08', '2022-09']"
midland county democratic party,2,1928,2025-04,['2025-04']
rights and democracy,2,1929,2020-10,"['2020-10', '2022-05']"
indivisible wabash valley,2,1930,2025-04,['2025-04']
north carolina naacp,2,1931,2017-07,"['2017-07', '2019-02']"
solidaire action,2,1932,2025-01,['2025-01']
united church of christ,2,1933,2017-07,"['2017-07', '2024-07']"
ruckus society,2,1934,2025-01,['2025-01']
oklahomans for health and parental rights,2,1935,2020-02,"['2020-02', '2021-11']"
crooked river action,2,1936,2025-04,['2025-04']
northern heartland circumcision protests,2,1937,2018-08,['2018-08']
syracuse peace council,2,1938,2025-01,"['2025-01', '2025-04']"
indivisible ocean shores,2,1939,2025-01,"['2025-01', '2025-04']"
genesee valley citizens for peace,2,1940,2024-11,"['2024-11', '2025-04']"
farmers,2,1941,2017-07,"['2017-07', '2023-03']"
pennsylvania health access network,2,1942,2017-07,"['2017-07', '2017-09']"
progress florida,2,1943,2021-07,"['2021-07', '2022-06']"
seiu local 1199,2,1944,2020-11,"['2020-11', '2024-04']"
elected officals,2,1945,2025-03,"['2025-03', '2025-04']"
bayan oregon,2,1946,2024-11,"['2024-11', '2025-01']"
indivisible denver,2,1947,2017-06,"['2017-06', '2025-04']"
utah business revival,2,1948,2021-01,"['2021-01', '2021-09']"
right to the city,2,1949,2025-01,['2025-01']
brighton park neighborhood council,2,1950,2021-06,"['2021-06', '2022-10']"
texas for palestine,2,1951,2024-10,['2024-10']
open doors nyc,2,1952,2020-12,"['2020-12', '2021-03']"
ny teachers for choice,2,1953,2020-12,"['2020-12', '2021-12']"
kenwood oakland community organization,2,1954,2020-12,"['2020-12', '2021-05']"
el chuco habla,2,1955,2025-01,['2025-01']
cwru sjp,2,1956,2024-10,"['2024-10', '2025-01']"
republican legislators,2,1957,2020-02,"['2020-02', '2021-11']"
the houston free thinkers,2,1958,2020-12,"['2020-12', '2021-02']"
student veterans,2,1959,2020-11,"['2020-11', '2024-10']"
hawai'i abolition collective,2,1960,2020-12,"['2020-12', '2021-01']"
medical marijuana providers,2,1961,2021-03,['2021-03']
pittsburgh dsa,2,1962,2021-07,"['2021-07', '2021-10']"
hawai'i peace and justice,2,1963,2020-12,"['2020-12', '2021-01']"
tea party,2,1964,2020-12,"['2020-12', '2021-08']"
winchester4palestine,2,1965,2024-10,"['2024-10', '2025-01']"
action together nepa,2,1966,2025-04,['2025-04']
cleveland heights teachers union,2,1967,2020-12,['2020-12']
red berets,2,1968,2021-07,"['2021-07', '2022-10']"
health choice maine,2,1969,2020-11,['2020-11']
green party of monroe county,2,1970,2021-07,"['2021-07', '2024-10']"
progress texas,2,1971,2021-05,"['2021-05', '2022-06']"
center for third world organizing,2,1972,2025-01,['2025-01']
decolonizing science,2,1973,2021-01,"['2021-01', '2021-07']"
indivisible portola valley,2,1974,2025-03,"['2025-03', '2025-04']"
unite here local 26,2,1975,2017-05,"['2017-05', '2021-09']"
center for empowered politics,2,1976,2025-01,['2025-01']
back the blue nevada county,2,1977,2021-03,"['2021-03', '2021-10']"
salvation and social justice,2,1978,2021-05,"['2021-05', '2023-03']"
ilps,2,1979,2024-10,"['2024-10', '2025-01']"
seiu local 32bj,2,1980,2020-11,"['2020-11', '2021-07']"
wood county indivisible,2,1981,2017-06,"['2017-06', '2017-07']"
mainers for tax fairness,2,1982,2021-06,"['2021-06', '2025-04']"
direct action for rights and equality,2,1983,2020-11,"['2020-11', '2022-01']"
don't punish pain,2,1984,2018-09,"['2018-09', '2021-10']"
wv free,2,1985,2017-06,"['2017-06', '2022-07']"
democratic organizers,2,1986,2021-08,['2021-08']
league of united latin american citizens,2,1987,2021-05,"['2021-05', '2023-02']"
connecticut immigrant and refugee coalition,2,1988,2021-03,['2021-03']
for our future,2,1989,2017-05,"['2017-05', '2017-06']"
local health care workers,2,1990,2021-08,"['2021-08', '2023-04']"
blackout,2,1991,2025-01,['2025-01']
indivisible grand forks,2,1992,2025-04,['2025-04']
liberty action coalition,2,1993,2021-01,"['2021-01', '2021-08']"
city workers,2,1994,2020-11,"['2020-11', '2022-02']"
reframe,2,1995,2025-01,['2025-01']
protect our care coalition,2,1996,2017-06,['2017-06']
indivisible inland empire,2,1997,2025-04,['2025-04']
small business owners,2,1998,2021-06,"['2021-06', '2024-01']"
project south,2,1999,2025-01,['2025-01']
logan circle group,2,2000,2021-07,['2021-07']
jane's due process,2,2001,2021-05,"['2021-05', '2022-06']"
political research associates,2,2002,2025-01,['2025-01']
seiu healthcare union,2,2003,2020-04,['2020-04']
health-care workers,2,2004,2018-09,"['2018-09', '2021-08']"
movement law lab,2,2005,2025-01,['2025-01']
ohio association of public school employees local 627,2,2006,2020-11,['2020-11']
latinos for medical freedom,2,2007,2020-11,"['2020-11', '2021-08']"
grassroots global justice,2,2008,2025-01,['2025-01']
"""don't cap my care""",2,2009,2017-06,['2017-06']
convergence magazine,2,2010,2025-01,['2025-01']
opportunity wisconsin,2,2011,2020-11,"['2020-11', '2023-05']"
massachusetts jobs with justice,2,2012,2021-07,"['2021-07', '2021-09']"
haltsolitary,2,2013,2021-02,['2021-02']
historic thousands on jones street people⊙s assembly coalition,2,2014,2021-02,['2021-02']
350 mass for a better future,2,2015,2021-08,['2021-08']
iatse local 720,2,2016,2020-08,"['2020-08', '2020-10']"
answer pittsburgh,2,2017,2021-05,"['2021-05', '2021-12']"
mass renews alliance,2,2018,2021-08,['2021-08']
representatives,2,2019,2019-05,"['2019-05', '2022-12']"
seattle indivisible,2,2020,2017-09,"['2017-09', '2025-04']"
seiu texas,2,2021,2017-06,"['2017-06', '2021-02']"
pal-awda li,2,2022,2025-02,['2025-02']
hands off,2,2023,2025-04,['2025-04']
350 ma-berkshires,2,2024,2021-08,['2021-08']
arise for social justice,2,2025,2021-08,['2021-08']
berkshire environmental action team,2,2026,2021-08,['2021-08']
berkshire county dsa,2,2027,2021-08,['2021-08']
community labor united,2,2028,2021-08,['2021-08']
co-op power,2,2029,2021-08,['2021-08']
pittsburgh anti-imperialist league,2,2030,2021-01,"['2021-01', '2021-05']"
young feminist party,2,2031,2024-09,"['2024-09', '2025-01']"
maryland democratic party,2,2032,2025-01,"['2025-01', '2025-03']"
local 1199,2,2033,2020-09,"['2020-09', '2021-03']"
9to5,2,2034,2021-08,['2021-08']
cojwj,2,2035,2021-08,['2021-08']
indivisible akron,2,2036,2025-04,['2025-04']
colorado fiscal institute,2,2037,2021-08,['2021-08']
take action minnesota,2,2038,2017-08,['2017-08']
together colorado,2,2039,2021-08,['2021-08']
women's march ct,2,2040,2017-06,"['2017-06', '2017-12']"
irvine community with humanity,2,2041,2025-01,['2025-01']
jvp twin cities,2,2042,2024-10,['2024-10']
stanford solidarity network,2,2043,2019-03,"['2019-03', '2020-09']"
colorado⊙s people alliance,2,2044,2021-08,['2021-08']
cultivando,2,2045,2021-08,['2021-08']
ges coalition,2,2046,2021-08,['2021-08']
illinois democratic women of kankakee county,2,2047,2025-04,['2025-04']
conservation colorado,2,2048,2021-08,['2021-08']
united working families,2,2049,2021-04,"['2021-04', '2022-07']"
madison county democratic party,2,2050,2017-06,"['2017-06', '2022-09']"
windham united to save our healthcare,2,2051,2021-07,"['2021-07', '2021-11']"
california parents united,2,2052,2021-08,"['2021-08', '2021-11']"
river valley for gaza healthcare,2,2053,2024-12,"['2024-12', '2025-01']"
indivisible kankakee,2,2054,2025-04,['2025-04']
belles service organization,2,2055,2024-10,['2024-10']
healthcare association of new york,2,2056,2019-03,['2019-03']
indivisible pittsfield,2,2057,2021-08,['2021-08']
santa clara county single payer healthcare coalition,2,2058,2021-07,"['2021-07', '2021-09']"
libertarian party of broward county,2,2059,2021-04,"['2021-04', '2022-03']"
rochester committee to end apartheid,2,2060,2024-10,"['2024-10', '2025-01']"
seiu local 1,2,2061,2021-07,"['2021-07', '2022-07']"
healthcare workers for palestine rochester,2,2062,2024-10,"['2024-10', '2025-01']"
healthcare workers for palestine connecticut,2,2063,2024-12,"['2024-12', '2025-01']"
ohio patriots alliance,2,2064,2021-04,"['2021-04', '2021-11']"
democratic national committee,2,2065,2017-08,"['2017-08', '2023-05']"
community residents,2,2066,2021-08,"['2021-08', '2021-11']"
jewish climate action network,2,2067,2021-08,['2021-08']
longmeadow pipeline awareness group,2,2068,2021-08,['2021-08']
neighbor to neighbor ma,2,2069,2021-08,['2021-08']
seiu 32 bj,2,2070,2021-08,['2021-08']
united healthcare workers east,2,2071,2020-09,['2020-09']
nursing home employees,2,2072,2020-09,"['2020-09', '2021-11']"
springfield no one leaves,2,2073,2021-08,['2021-08']
springfield climate justice coalition,2,2074,2021-08,['2021-08']
united auto workers local 3555,2,2075,2020-08,"['2020-08', '2020-10']"
western ma dayenu circle,2,2076,2021-08,['2021-08']
operating engineers local 501,2,2077,2020-08,"['2020-08', '2020-10']"
teamsters local 986,2,2078,2020-08,"['2020-08', '2020-10']"
350 new hampshire,2,2079,2021-08,"['2021-08', '2023-04']"
teamsters local 631,2,2080,2020-08,"['2020-08', '2020-10']"
universal health care foundation of connecticut,2,2081,2017-06,"['2017-06', '2023-03']"
mothers out front,2,2082,2021-08,"['2021-08', '2023-09']"
our climate,2,2083,2021-08,"['2021-08', '2021-09']"
sunrise hampden county,2,2084,2021-08,['2021-08']
sjp at ucsf,2,2085,2024-09,"['2024-09', '2024-10']"
association of flight attendants,2,2086,2021-07,"['2021-07', '2025-01']"
wisconsin poor people's campaign,2,2087,2020-10,"['2020-10', '2022-03']"
security guards,2,2088,2020-08,"['2020-08', '2024-12']"
seiu local 105,2,2089,2021-02,"['2021-02', '2023-06']"
amistad law project,2,2090,2021-04,"['2021-04', '2022-03']"
pact,2,2091,2019-02,"['2019-02', '2021-09']"
semilla collective,2,2092,2021-04,"['2021-04', '2021-06']"
indivisible southern delaware,2,2093,2025-04,['2025-04']
shut it down for palestine,2,2094,2024-10,"['2024-10', '2025-01']"
milwaukee mamas for (collective) liberation,2,2095,2025-01,['2025-01']
san jose may day coalition,2,2096,2021-05,"['2021-05', '2025-01']"
klamath county democrats,2,2097,2023-01,"['2023-01', '2025-04']"
former inmates,2,2098,2021-02,"['2021-02', '2022-09']"
protection of the educational rights of kids,2,2099,2021-08,"['2021-08', '2021-11']"
illinois alliance for retired americans,2,2100,2017-08,"['2017-08', '2025-04']"
frontline healthcare workers in greencard backlog,2,2101,2021-04,['2021-04']
codepink inland empire,2,2102,2024-09,"['2024-09', '2025-02']"
frso dallas,2,2103,2024-09,"['2024-09', '2024-10']"
ontario united for liberation,2,2104,2024-09,"['2024-09', '2025-02']"
down home north carolina,2,2105,2019-02,"['2019-02', '2021-05']"
mainers for freedom,2,2106,2021-08,['2021-08']
general supporters,2,2107,2017-02,"['2017-02', '2018-10']"
national nurses union,2,2108,2018-01,"['2018-01', '2024-11']"
aft connecticut,2,2109,2021-02,"['2021-02', '2021-07']"
seiu-united service workers west,2,2110,2019-07,"['2019-07', '2024-12']"
washingtonians for change,2,2111,2021-06,"['2021-06', '2021-11']"
disability rights advocates,2,2112,2017-06,"['2017-06', '2021-04']"
no left turn in education,2,2113,2021-07,"['2021-07', '2023-05']"
end medical debt maryland,2,2114,2021-04,"['2021-04', '2023-03']"
strength in numbers,2,2115,2021-08,['2021-08']
local activists,2,2116,2017-06,"['2017-06', '2024-11']"
planned parenthood of the rocky mountains,2,2117,2017-07,"['2017-07', '2022-07']"
chinese-american planning council,2,2118,2021-06,"['2021-06', '2021-12']"
citizen action wisconsin,2,2119,2021-05,"['2021-05', '2023-03']"
yes on meassure 101: yes on healthcare,2,2120,2018-01,['2018-01']
unite here! local 5,2,2121,2021-07,"['2021-07', '2023-09']"
black disabled lives matter,2,2122,2024-09,"['2024-09', '2024-10']"
new haven rising,2,2123,2021-04,"['2021-04', '2024-04']"
pal-awda ny/nj,2,2124,2025-01,['2025-01']
seiu 1199ne,2,2125,2021-05,"['2021-05', '2022-06']"
mxms for a free palestine,2,2126,2024-10,"['2024-10', '2024-11']"
papeles para todos,2,2127,2021-05,"['2021-05', '2025-01']"
healthcare workers for palestine - maine,2,2128,2025-01,['2025-01']
make the road nj,2,2129,2021-05,"['2021-05', '2024-02']"
ct citizens action group,2,2130,2021-07,"['2021-07', '2023-03']"
universities allied for essential medicines,2,2131,2021-05,"['2021-05', '2022-12']"
puget sound john brown gun club,2,2132,2020-09,"['2020-09', '2021-01']"
thomas merton center,2,2133,2020-10,"['2020-10', '2020-11']"
city leaders,2,2134,2020-08,"['2020-08', '2022-07']"
physicians assistants,2,2135,2021-05,"['2021-05', '2025-03']"
miami dsa,2,2136,2017-12,"['2017-12', '2021-11']"
atlanta homeless union,2,2137,2021-07,['2021-07']
350 pdx,2,2138,2021-01,"['2021-01', '2023-09']"
wsu sjp,2,2139,2024-12,"['2024-12', '2025-01']"
correctional officers,2,2140,2021-08,"['2021-08', '2021-09']"
progress n.c. action,2,2141,2017-06,['2017-06']
seiu 509,2,2142,2021-02,"['2021-02', '2025-01']"
partners in health engage,2,2143,2017-12,"['2017-12', '2022-11']"
science and medicine for a free palestine,2,2144,2024-10,"['2024-10', '2024-11']"
maine allcare,2,2145,2019-06,"['2019-06', '2021-07']"
chicago pride,1,2146,2023-06,['2023-06']
chicago coalition of welcoming churches,1,2147,2023-06,['2023-06']
wireless radiation education & defense,1,2148,2023-06,['2023-06']
carpenters in action,1,2149,2023-07,['2023-07']
50501-sc,1,2150,2025-04,['2025-04']
columbus ga. indivisibles,1,2151,2025-04,['2025-04']
frso - twin cities,1,2152,2023-06,['2023-06']
voices of reason,1,2153,2025-04,['2025-04']
tcc4j,1,2154,2023-06,['2023-06']
uusf women's rights group,1,2155,2023-06,['2023-06']
be a hero,1,2156,2023-07,['2023-07']
indivisible polk county oregon,1,2157,2025-04,['2025-04']
union caregivers,1,2158,2023-07,['2023-07']
sag members,1,2159,2023-07,['2023-07']
boise trans collective,1,2160,2023-06,['2023-06']
danbury area coalition for democracy,1,2161,2025-04,['2025-04']
brunswick county democratic party,1,2162,2025-04,['2025-04']
gwuh nurses united,1,2163,2023-06,['2023-06']
act up philly,1,2164,2023-06,['2023-06']
loyola university new orleans young democratic socialists of america,1,2165,2023-07,['2023-07']
teamsters local 396,1,2166,2023-07,['2023-07']
people from around merrill,1,2167,2023-06,['2023-06']
teamsters local 817,1,2168,2023-07,['2023-07']
danbury pride,1,2169,2025-04,['2025-04']
naacp greater danbury branch,1,2170,2025-04,['2025-04']
indivisible covington wa,1,2171,2025-04,['2025-04']
red labor caucus,1,2172,2023-06,['2023-06']
social justice committee at billerica⊙s first parish church,1,2173,2025-04,['2025-04']
boise dsa,1,2174,2023-06,['2023-06']
san francisco unitarian universalist church,1,2175,2023-06,['2023-06']
boca raton indivisible,1,2176,2025-04,['2025-04']
danbury justice network,1,2177,2025-04,['2025-04']
indivisible southwest ohio,1,2178,2025-04,['2025-04']
freedom center for social justice,1,2179,2023-07,['2023-07']
bold new democracy,1,2180,2025-04,['2025-04']
poor people's campaign north carolina,1,2181,2023-07,['2023-07']
police station response team,1,2182,2023-07,['2023-07']
new river valley indivisible,1,2183,2025-04,['2025-04']
martin luther king community church,1,2184,2023-07,['2023-07']
reproductive transparency now,1,2185,2023-07,['2023-07']
unity council for the east palestine derailment,1,2186,2023-07,['2023-07']
central indiana dsa,1,2187,2023-07,['2023-07']
stop trans genocide - chicago,1,2188,2023-07,['2023-07']
nicaragua solidarity coalition,1,2189,2023-07,['2023-07']
green party of allegeny county,1,2190,2023-07,['2023-07']
chico peace alliance,1,2191,2025-04,['2025-04']
vermilion county pride coalition,1,2192,2023-06,['2023-06']
friends of latin america,1,2193,2023-07,['2023-07']
coalition for immigrant and refugee rights,1,2194,2025-04,['2025-04']
indivisible clt,1,2195,2025-04,['2025-04']
soky indivisible,1,2196,2025-04,['2025-04']
frente de mujeres,1,2197,2023-07,['2023-07']
d19,1,2198,2023-07,['2023-07']
cir-seiu,1,2199,2023-07,['2023-07']
mask bloc sunset,1,2200,2023-07,['2023-07']
alliance for global justice,1,2201,2023-07,['2023-07']
community united to save our birthing center coalition,1,2202,2023-07,['2023-07']
mask bloc uc davis,1,2203,2023-07,['2023-07']
fresno central labor council,1,2204,2023-07,['2023-07']
indivisible shawnee,1,2205,2025-04,['2025-04']
belleville area friends indivisible,1,2206,2025-04,['2025-04']
homer g. phillips nurses' alumni,1,2207,2023-07,['2023-07']
usw local 9460,1,2208,2023-07,['2023-07']
nor cal carpenters union,1,2209,2023-07,['2023-07']
new hanover county democratic party,1,2210,2025-04,['2025-04']
mass coalition,1,2211,2025-04,['2025-04']
mass 50501,1,2212,2025-04,['2025-04']
parent,1,2213,2023-07,['2023-07']
schenectady human rights commission,1,2214,2023-07,['2023-07']
vermont worker's center,1,2215,2023-07,['2023-07']
freeher vermont,1,2216,2023-07,['2023-07']
invisible,1,2217,2025-04,['2025-04']
allies line,1,2218,2023-07,['2023-07']
people with lovedd ones in vermont prisons,1,2219,2023-07,['2023-07']
uccs young dems,1,2220,2025-04,['2025-04']
swing blue alliance,1,2221,2025-04,['2025-04']
coastside indivisible,1,2222,2025-04,['2025-04']
uu mass action,1,2223,2025-04,['2025-04']
ohio's poor people campaign,1,2224,2025-04,['2025-04']
we the people of cloquet-indivisible,1,2225,2025-04,['2025-04']
aclu of massachusetts,1,2226,2025-04,['2025-04']
iowa wtf,1,2227,2023-07,['2023-07']
afscme council 66,1,2228,2023-07,['2023-07']
american postal workers union detroit,1,2229,2023-07,['2023-07']
harrison county democratic women⊙s club,1,2230,2025-04,['2025-04']
fems for dems,1,2231,2023-07,['2023-07']
soaring unlimited haiti,1,2232,2023-07,['2023-07']
indivisible clackamas,1,2233,2025-04,['2025-04']
northampton township republican committee,1,2234,2023-07,['2023-07']
project 704ward,1,2235,2023-07,['2023-07']
kalamazoo climate crisis,1,2236,2023-07,['2023-07']
western michigan university climate change working group,1,2237,2023-07,['2023-07']
new york city organization of public service retirees,1,2238,2023-07,['2023-07']
democratic party of clackamas county,1,2239,2025-04,['2025-04']
space coast progressive alliance,1,2240,2025-04,['2025-04']
national low income housing coalition,1,2241,2023-05,['2023-05']
homeful solution,1,2242,2023-05,['2023-05']
haverhill democratic city committee,1,2243,2025-04,['2025-04']
