actor,occurrence_count,rank,first_appearance,unique_dates
la frontera nos cruzo,9,668,2022-12,"['2022-12', '2023-03', '2024-05', '2024-08', '2024-11', '2025-01', '2025-02']"
kids,9,669,2020-06,"['2020-06', '2020-08', '2021-04', '2021-06', '2022-01', '2023-04', '2023-10', '2024-06', '2024-07']"
seiu united service workers west,9,670,2020-02,"['2020-02', '2021-02', '2023-05', '2023-09']"
detroit anti-war committee,9,671,2024-08,"['2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-03']"
alabama rally against injustice,9,672,2020-05,"['2020-05', '2020-06', '2020-09', '2020-11', '2022-07']"
indian american muslim council,9,673,2021-11,"['2021-11', '2023-10']"
utah against police brutality,9,674,2020-05,"['2020-05', '2020-08', '2020-09', '2021-01', '2021-03', '2021-04', '2021-11', '2022-10']"
mixteca organization,9,675,2022-01,"['2022-01', '2022-03', '2023-05']"
white lives matter california,9,676,2022-01,"['2022-01', '2022-02', '2022-03', '2022-05', '2022-11', '2023-01', '2023-10']"
glenview area groups for action,9,677,2020-06,['2020-06']
defense of democracy,9,678,2023-04,"['2023-04', '2023-09', '2024-01', '2024-03', '2024-06', '2024-07']"
ny aarpr,9,679,2024-09,"['2024-09', '2024-10', '2024-11', '2025-01']"
jews united for justice,9,680,2019-07,"['2019-07', '2020-06', '2021-03', '2022-02', '2022-03', '2022-04', '2023-03', '2023-10', '2025-03']"
general protestor,9,681,2017-10,"['2017-10', '2018-06', '2019-01', '2019-02', '2019-04', '2019-07', '2020-10']"
socal uprising,9,682,2023-12,"['2023-12', '2024-03', '2024-05', '2024-07', '2025-01', '2025-02']"
community protestors,9,683,2020-02,"['2020-02', '2020-03', '2020-05']"
indigenous environmental network,9,684,2021-06,"['2021-06', '2021-12', '2022-09', '2023-01', '2023-07', '2023-09', '2024-06']"
north american indian center of boston,9,685,2020-07,"['2020-07', '2021-01', '2021-08', '2021-10', '2023-05', '2023-10', '2024-02', '2024-10']"
haiti action committee,9,686,2021-09,"['2021-09', '2021-10', '2021-12', '2022-07', '2022-10', '2023-06', '2024-01', '2025-01']"
afscme,9,687,2021-09,"['2021-09', '2022-03', '2023-10', '2024-09']"
child care for connecticut's future,9,688,2022-03,['2022-03']
others,9,689,2018-02,"['2018-02', '2019-01', '2019-07', '2022-05', '2023-02', '2024-02']"
all our kin,9,690,2022-03,['2022-03']
defend the atlanta forest,9,691,2021-09,"['2021-09', '2022-01', '2022-05', '2022-07', '2022-08', '2023-06', '2024-02', '2024-03']"
union of southern service workers,9,692,2023-02,"['2023-02', '2023-05', '2023-09', '2024-01', '2024-05', '2024-06', '2024-09', '2025-01']"
miami valley abolitionists,9,693,2020-08,"['2020-08', '2020-09', '2022-08', '2023-01', '2023-02', '2023-06', '2023-08']"
u.s. campaign for palestinian rights,9,694,2022-04,"['2022-04', '2023-07', '2023-11', '2024-03', '2024-08', '2024-10']"
la tenants union,9,695,2018-11,"['2018-11', '2021-10', '2022-10', '2022-11', '2023-10']"
unidad latina en acción,9,696,2018-09,"['2018-09', '2018-10', '2020-12', '2021-03', '2021-10', '2024-09', '2024-11']"
actbac,9,697,2018-08,"['2018-08', '2020-07', '2021-03', '2021-05', '2021-07', '2021-10', '2022-01', '2022-08']"
central ohio revolutionary socialists,9,698,2022-09,"['2022-09', '2022-12', '2023-03', '2024-02', '2024-04', '2024-11', '2024-12', '2025-01', '2025-04']"
national tps alliance,9,699,2020-09,"['2020-09', '2020-11', '2021-04', '2023-06']"
central valley bipoc coalition,9,700,2024-02,"['2024-02', '2024-03', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03']"
mothers,9,701,2018-06,"['2018-06', '2020-07', '2021-05', '2022-08', '2023-01', '2023-02', '2023-03', '2023-08']"
cops off campus,9,702,2020-10,"['2020-10', '2021-04', '2021-05', '2021-07', '2023-04']"
faith in action,9,703,2018-05,"['2018-05', '2018-06', '2018-11', '2020-09', '2020-12', '2021-04', '2021-10', '2025-02']"
uic geo,9,704,2022-04,['2022-04']
immigrant justice network,9,705,2020-10,"['2020-10', '2022-09', '2024-12']"
cosecha indiana,9,706,2021-07,"['2021-07', '2022-02']"
chicago teachers union,9,707,2020-06,"['2020-06', '2021-05', '2021-08', '2022-07', '2023-04', '2024-11', '2025-02']"
blackout,9,708,2025-01,['2025-01']
center for empowered politics,9,709,2025-01,['2025-01']
center for third world organizing,9,710,2025-01,['2025-01']
convergence magazine,9,711,2025-01,['2025-01']
grassroots global justice,9,712,2025-01,['2025-01']
movement law lab,9,713,2025-01,['2025-01']
political research associates,9,714,2025-01,['2025-01']
total liberation collective,9,715,2020-11,"['2020-11', '2021-02', '2021-03', '2021-04', '2021-05', '2021-10']"
reframe,9,716,2025-01,['2025-01']
racial justice coalition of san diego,9,717,2021-09,"['2021-09', '2021-10', '2022-10', '2023-01', '2023-02', '2023-03', '2023-10', '2024-10', '2025-01']"
ruckus society,9,718,2025-01,['2025-01']
solidaire action,9,719,2025-01,['2025-01']
first friends,9,720,2021-10,"['2021-10', '2022-03', '2023-02', '2023-05', '2023-06', '2023-07', '2023-08']"
goodkidsmadcity,9,721,2021-10,"['2021-10', '2022-01', '2022-04', '2022-06', '2022-08', '2022-09']"
atlanta student movement,9,722,2021-10,['2021-10']
envision freedom fund,9,723,2021-10,"['2021-10', '2022-03', '2022-06', '2022-07', '2022-08', '2022-11', '2023-04', '2023-09', '2024-01']"
members of the community,9,724,2020-06,"['2020-06', '2020-09', '2021-04', '2021-05', '2022-11', '2023-07']"
rude mechanical orchestra,9,725,2020-11,"['2020-11', '2023-02', '2023-09', '2024-01', '2024-02', '2024-03', '2024-10', '2024-12']"
international jewish anti-zionist network,9,726,2024-01,"['2024-01', '2024-07', '2024-09', '2024-10', '2024-11']"
chicago anti-war committee,9,727,2024-05,"['2024-05', '2024-06', '2024-07', '2024-10', '2024-11', '2025-01']"
afsc,9,728,2021-09,"['2021-09', '2021-12', '2022-10', '2023-02', '2024-05', '2024-06', '2025-01', '2025-02']"
right to the city,9,729,2025-01,['2025-01']
ifnotnow,9,730,2017-02,"['2017-02', '2021-03', '2023-03', '2023-10', '2023-11', '2023-12', '2024-10', '2024-11']"
wyoming active club,9,731,2023-06,"['2023-06', '2023-08', '2023-10', '2024-02', '2024-03', '2024-04', '2024-07', '2025-02']"
bread & roses legal center,9,732,2023-11,"['2023-11', '2024-02', '2024-03', '2024-04', '2024-08', '2024-09', '2024-10', '2024-12']"
good trouble cooperative,9,733,2021-03,"['2021-03', '2021-04', '2021-09', '2021-10', '2024-03']"
southern workers assembly,9,734,2021-03,"['2021-03', '2022-03', '2022-06', '2022-07', '2023-09', '2024-02', '2024-05', '2025-01']"
protesters,9,735,2017-03,"['2017-03', '2020-06', '2020-08', '2020-09', '2021-03', '2021-04', '2023-06', '2023-09']"
dolores huerta foundation,9,736,2021-02,"['2021-02', '2021-10', '2021-12', '2023-02', '2023-05', '2025-01']"
qdep,9,737,2023-09,['2023-09']
united federation of teachers,9,738,2021-01,"['2021-01', '2022-07', '2022-08', '2023-08', '2023-12', '2024-01', '2024-09', '2025-01']"
wednesday walk for black lives,9,739,2021-03,"['2021-03', '2022-02', '2022-03', '2022-05', '2022-09', '2023-07', '2024-08']"
tennessee immigrant and refugee rights coalition,9,740,2017-02,"['2017-02', '2017-07', '2017-08', '2017-12', '2021-03', '2021-11', '2024-04', '2025-03']"
league of women voters of prince william and fauquier,9,741,2021-06,"['2021-06', '2021-07', '2021-08']"
naacp-fauquier county branch,9,742,2021-06,"['2021-06', '2021-07', '2021-08']"
ausiime,9,743,2024-10,"['2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
yalla indivisible,9,744,2021-05,"['2021-05', '2021-06', '2022-05', '2023-11', '2023-12', '2024-01', '2024-07']"
coming to the table - northern shenandoah valley,9,745,2021-06,"['2021-06', '2021-07', '2021-08']"
repurpose,9,746,2017-01,"['2017-01', '2018-01', '2019-01', '2020-01', '2021-01', '2022-01', '2023-01', '2024-01', '2025-01']"
business owners,9,747,2021-03,"['2021-03', '2021-12', '2022-05', '2023-02', '2023-09', '2023-11', '2024-02', '2024-03']"
nice,8,748,2022-03,"['2022-03', '2022-05']"
moms for liberty,8,749,2021-11,"['2021-11', '2022-03', '2023-02', '2023-03', '2023-08', '2023-11', '2024-10']"
lupe,8,750,2017-07,"['2017-07', '2019-07', '2021-06', '2021-09', '2023-06', '2023-12', '2024-03', '2025-01']"
people's justice project,8,751,2017-08,"['2017-08', '2020-12', '2021-04', '2023-08', '2023-09', '2024-02', '2024-08']"
concerned citizens of dc,8,752,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09']"
national day laborer organizing network,8,753,2020-10,"['2020-10', '2021-05', '2021-06', '2021-08', '2022-04', '2023-03', '2023-05', '2024-06']"
the live movement,8,754,2020-10,"['2020-10', '2021-02', '2021-08', '2022-03']"
unions,8,755,2020-10,"['2020-10', '2021-09', '2022-05', '2023-03', '2023-07', '2023-08', '2023-11', '2024-01']"
portland for palestine,8,756,2024-11,"['2024-11', '2025-01', '2025-02', '2025-03']"
cecil solidarity,8,757,2020-06,"['2020-06', '2020-07', '2020-09', '2020-10', '2021-02']"
protect the vote ga,8,758,2021-04,"['2021-04', '2021-05', '2021-06', '2021-10', '2021-12', '2022-04', '2022-05']"
charlotte uprising,8,759,2017-08,"['2017-08', '2020-07', '2020-09', '2021-07', '2023-02', '2023-04', '2023-08']"
black lives matter utah,8,760,2020-08,"['2020-08', '2021-02', '2021-04', '2021-11', '2022-04', '2023-08']"
no tech for apartheid,8,761,2024-01,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-10', '2024-11']"
northwestern university community not cops,8,762,2020-10,"['2020-10', '2021-04']"
for our liberation,8,763,2021-09,"['2021-09', '2021-10', '2021-11', '2021-12', '2023-11', '2024-06', '2024-09']"
elmer geronimo pratt gun club,8,764,2022-09,"['2022-09', '2022-11', '2023-02', '2023-04', '2023-05', '2023-10']"
international league of peoples struggles,8,765,2024-01,"['2024-01', '2024-02', '2024-03', '2024-06', '2024-07']"
local protestors,8,766,2019-11,"['2019-11', '2020-05', '2020-06', '2020-07']"
united against racism and fascism nyc,8,767,2020-11,"['2020-11', '2021-01', '2021-03', '2021-07', '2021-10', '2022-03', '2023-04', '2023-06']"
act up,8,768,2020-11,"['2020-11', '2023-08', '2024-01', '2024-03', '2024-09', '2025-04']"
houston socialist movement,8,769,2017-02,"['2017-02', '2017-05', '2017-08', '2017-09', '2021-04', '2021-12', '2022-12', '2023-04']"
members of the lgbtq+ community,8,770,2022-11,"['2022-11', '2023-02', '2023-04', '2023-06', '2024-02', '2024-03']"
international action center,8,771,2019-09,"['2019-09', '2020-09', '2021-05', '2022-02', '2023-01', '2023-10', '2024-02', '2024-12']"
clergy members,8,772,2021-05,"['2021-05', '2021-09', '2022-03', '2022-10', '2023-09', '2024-02']"
free gaza dickinson,8,773,2024-04,"['2024-04', '2024-05']"
all of us,8,774,2020-07,"['2020-07', '2020-08', '2020-11', '2021-01', '2021-04', '2021-06', '2021-07']"
brooklyn defenders,8,775,2022-07,"['2022-07', '2023-01', '2023-04', '2023-12', '2024-01', '2024-12', '2025-02']"
puget sound john brown gun club,8,776,2019-08,"['2019-08', '2020-01', '2020-06', '2020-07', '2020-09', '2020-10', '2021-01', '2021-05']"
community liberation network,8,777,2024-04,"['2024-04', '2024-07', '2024-10', '2025-01', '2025-02']"
colorado springs people's coalition,8,778,2023-02,"['2023-02', '2024-08', '2024-10', '2024-12', '2025-01']"
bg freedom walkers,8,779,2020-06,"['2020-06', '2020-07', '2020-09', '2021-05', '2023-01']"
legal defense fund,8,780,2022-03,"['2022-03', '2022-10', '2024-12']"
crackhead barney and friends,8,781,2023-01,"['2023-01', '2023-03', '2023-04', '2023-05', '2023-08', '2023-11', '2023-12', '2024-08']"
delco resists,8,782,2020-08,"['2020-08', '2020-09', '2021-02', '2021-04', '2022-01', '2022-07', '2022-09']"
chicago for abortion rights,8,783,2021-06,"['2021-06', '2022-01', '2022-05', '2023-01', '2023-04', '2024-04', '2025-01']"
aqe new york,8,784,2022-03,"['2022-03', '2022-07', '2022-08', '2023-03', '2023-06', '2024-01', '2025-01']"
illinois coalition for immigrant and refugee rights,8,785,2018-08,"['2018-08', '2020-09', '2021-05', '2021-07', '2021-08', '2021-11', '2023-04', '2024-02']"
austin students for a democratic society,8,786,2021-03,"['2021-03', '2021-09', '2023-04', '2023-08', '2023-09', '2024-11', '2025-03']"
stop the money pipeline,8,787,2021-05,"['2021-05', '2023-04', '2024-04', '2024-06', '2024-08', '2024-09', '2025-04']"
palestinian assembly for liberation,8,788,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2025-03']"
united national antiwar coalition,8,789,2022-02,"['2022-02', '2022-10', '2023-01', '2023-03', '2023-10', '2024-07', '2025-01']"
first nation farmer climate unity march,8,790,2018-09,['2018-09']
united we dream action,8,791,2021-09,"['2021-09', '2021-10', '2022-03']"
protect our children ny,8,792,2023-09,"['2023-09', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03']"
on site public media,8,793,2020-09,"['2020-09', '2020-12', '2021-03', '2021-04', '2022-06']"
mixteca,8,794,2021-12,"['2021-12', '2022-03', '2023-01', '2023-03', '2023-08', '2025-01']"
palestine solidarity grand rapids,8,795,2024-06,"['2024-06', '2024-08', '2024-11', '2025-01', '2025-03']"
hero tent,8,796,2020-06,"['2020-06', '2021-06', '2022-01', '2023-10', '2023-12', '2024-02']"
league of the south,8,797,2017-08,"['2017-08', '2018-01', '2021-03', '2021-07', '2021-11', '2022-07', '2022-08', '2022-11']"
stand up,8,798,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11']"
free them all va,8,799,2021-03,"['2021-03', '2021-09', '2022-12', '2023-03', '2023-09', '2024-02', '2024-03', '2024-06']"
west coalition,8,800,2021-03,"['2021-03', '2021-04', '2022-03', '2022-04', '2022-06', '2022-11', '2023-02', '2024-03']"
dignity not detention,8,801,2021-10,"['2021-10', '2022-05', '2024-12']"
community organizations,8,802,2021-05,"['2021-05', '2021-06', '2022-03', '2023-05', '2023-09']"
appleton students for a democratic society,8,803,2021-05,"['2021-05', '2021-11', '2022-04', '2023-04', '2023-05', '2024-03']"
#closethecamps,8,804,2019-07,['2019-07']
houston latinos for palestine,8,805,2024-03,"['2024-03', '2024-04', '2024-07', '2024-09', '2024-11', '2024-12']"
lehigh valley friends meeting,8,806,2020-09,"['2020-09', '2020-10']"
oakland education association,8,807,2022-01,"['2022-01', '2022-02', '2022-04', '2022-08', '2023-05', '2025-01', '2025-02']"
anakbyan,8,808,2023-10,['2023-10']
children first,8,809,2022-03,['2022-03']
lambda legal,8,810,2017-03,"['2017-03', '2020-11', '2022-04', '2023-03', '2023-04', '2023-06', '2024-07', '2024-12']"
bay muslims for human rights,8,811,2021-11,['2021-11']
india genocide watch,8,812,2021-11,['2021-11']
make the road pa,8,813,2019-04,"['2019-04', '2021-05', '2021-10', '2021-11', '2022-03', '2022-05', '2024-01']"
fridays for future nyc,8,814,2021-11,"['2021-11', '2022-09', '2023-01', '2023-03', '2023-04', '2024-02', '2024-11']"
education voters of pennsylvania,8,815,2022-03,['2022-03']
mexicanos unidos,8,816,2021-02,"['2021-02', '2021-03', '2021-06', '2021-07', '2024-01']"
nyc dsa,8,817,2022-02,"['2022-02', '2022-03', '2022-06', '2022-07', '2023-03', '2023-04', '2024-11']"
des moines blm,8,818,2020-06,"['2020-06', '2022-05']"
get free,8,819,2023-07,"['2023-07', '2023-11', '2024-07', '2024-10', '2025-02']"
alpha phi alpha fraternity,8,820,2020-06,"['2020-06', '2021-01', '2022-01', '2023-03', '2024-01']"
organize the state out,8,821,2022-03,"['2022-03', '2022-05', '2022-12', '2023-01', '2023-05', '2024-08']"
psc cuny,8,822,2021-06,"['2021-06', '2023-02', '2023-03', '2023-05', '2023-12', '2024-11', '2025-01', '2025-04']"
brighton park neighborhood council,8,823,2020-06,"['2020-06', '2021-05', '2021-08', '2021-10', '2021-11', '2022-07', '2022-10']"
declaration for american democracy coalition,8,824,2021-08,"['2021-08', '2021-09', '2022-03']"
minnesota justice coalition,8,825,2021-03,"['2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2022-02', '2023-02', '2023-08']"
metro dc dsa,8,826,2021-05,"['2021-05', '2022-04', '2022-05', '2023-03', '2023-11', '2025-01']"
black lives matter twin cities metro,8,827,2020-09,"['2020-09', '2020-10', '2021-01', '2021-03', '2021-11', '2023-08', '2024-10', '2025-02']"
the red nation,8,828,2020-06,"['2020-06', '2020-07', '2020-08', '2023-02', '2023-09', '2024-02']"
chicago democratic socialists of america,8,829,2020-08,"['2020-08', '2020-09', '2020-10', '2021-01', '2021-03', '2021-05', '2022-01']"
cuny internationalist clubs,8,830,2022-09,"['2022-09', '2022-10', '2023-01', '2023-05', '2023-08', '2024-03', '2024-08']"
equality texas,8,831,2021-09,"['2021-09', '2022-03', '2022-04', '2023-03', '2024-07', '2024-09', '2025-03']"
ain't i a woman!?,8,832,2022-05,"['2022-05', '2022-08', '2022-09', '2023-04', '2023-05', '2024-01']"
artists against apartheid,8,833,2023-12,"['2023-12', '2024-07', '2025-01']"
ct john brown gun club,8,834,2022-04,"['2022-04', '2022-08', '2023-02', '2023-03', '2025-01']"
league of united latin american citizens,8,835,2017-08,"['2017-08', '2020-10', '2020-11', '2023-07', '2024-04', '2025-02', '2025-03']"
first defense legal fund,8,836,2023-04,"['2023-04', '2023-05', '2023-06', '2023-09', '2023-10']"
national alliance against racist and political repression,8,837,2020-05,"['2020-05', '2020-08', '2020-09', '2023-01', '2023-08', '2024-03']"
we want democracy,8,838,2022-01,"['2022-01', '2023-01', '2023-03', '2023-07', '2024-09']"
immigrant defense project,8,839,2020-01,"['2020-01', '2021-07', '2022-07', '2022-11', '2023-04', '2024-02', '2024-12', '2025-01']"
georgetown university protects racists,8,840,2022-12,"['2022-12', '2023-01']"
concerned citizens,8,841,2020-07,"['2020-07', '2020-09', '2021-03', '2021-12', '2022-03', '2023-06', '2023-09', '2024-04']"
art against displacement,8,842,2020-12,"['2020-12', '2021-05', '2022-04', '2022-05', '2022-10', '2024-01', '2024-09']"
essential workers,8,843,2020-07,"['2020-07', '2021-02', '2021-10', '2021-11']"
fred hampton gun club,8,844,2021-03,"['2021-03', '2021-07', '2021-09', '2021-10', '2021-11', '2023-01', '2024-01']"
stop lapd spying,8,845,2021-05,"['2021-05', '2022-10', '2022-11', '2023-01', '2023-10', '2024-10']"
academics united,7,846,2017-02,['2017-02']
violence in boston,7,847,2017-08,"['2017-08', '2020-09', '2021-01', '2021-04', '2021-05']"
detroit aarpr,7,848,2024-09,"['2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
aryan freedom network,7,849,2022-09,"['2022-09', '2022-12', '2023-06', '2023-08', '2023-09', '2024-06', '2024-09']"
earth quaker action team,7,850,2022-01,"['2022-01', '2022-04', '2024-11']"
general protests,7,851,2017-01,"['2017-01', '2017-04', '2018-08', '2020-09']"
malcolm x grassroots movement,7,852,2022-02,"['2022-02', '2022-11', '2023-10', '2024-03', '2024-07', '2024-10', '2025-01']"
san jose against war,7,853,2024-07,"['2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-03']"
people's city council,7,854,2021-09,"['2021-09', '2023-03', '2023-04', '2024-05', '2024-06']"
student voices for equity,7,855,2023-03,['2023-03']
community for change,7,856,2021-03,"['2021-03', '2021-05', '2022-07', '2022-08', '2022-09', '2025-01']"
new jersey institute for social justice,7,857,2021-05,"['2021-05', '2021-06', '2021-12', '2022-06', '2023-06', '2024-06']"
asian americans united,7,858,2021-08,"['2021-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-03']"
undocumented workers,7,859,2021-03,"['2021-03', '2021-06', '2021-07', '2023-04']"
detained immigrants,7,860,2020-03,"['2020-03', '2023-06', '2023-07']"
black lives matter boise,7,861,2020-06,"['2020-06', '2020-08', '2021-02', '2021-05', '2021-07', '2023-06']"
black,7,862,2017-07,"['2017-07', '2020-05', '2020-06', '2020-08', '2020-09']"
neo-nazis,7,863,2023-01,"['2023-01', '2023-02', '2023-10', '2023-11', '2024-08', '2025-02']"
texas rising,7,864,2021-04,"['2021-04', '2021-10', '2022-05', '2023-04', '2023-06', '2024-03']"
undocumented immigrants,7,865,2021-06,"['2021-06', '2021-07', '2022-02', '2022-03', '2023-06']"
tha hood squad,7,866,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2023-02']"
boogaloo bois,7,867,2020-05,"['2020-05', '2020-08', '2020-11', '2021-03', '2021-05']"
quad cities community foundation,7,868,2024-11,['2024-11']
make the road nevada,7,869,2022-03,"['2022-03', '2022-05', '2022-12', '2023-06', '2023-07', '2024-01', '2025-01']"
fight back tucson,7,870,2020-07,"['2020-07', '2020-08', '2020-09', '2020-10', '2020-11']"
southeast environmental task force,7,871,2021-02,"['2021-02', '2021-12', '2022-02', '2022-07', '2023-06', '2023-10']"
national alliance against racist & political repression,7,872,2021-03,"['2021-03', '2021-04', '2023-05', '2024-02', '2024-03', '2024-08']"
clean river advisory council,7,873,2024-11,['2024-11']
people's power assembly,7,874,2017-05,"['2017-05', '2020-07', '2021-02', '2021-05', '2023-04', '2024-07', '2024-08']"
mn workers united,7,875,2021-03,"['2021-03', '2021-04', '2021-10', '2024-05', '2024-07', '2025-01']"
new york community action project,7,876,2020-09,"['2020-09', '2020-11', '2021-01', '2021-04', '2021-05', '2023-04', '2024-06']"
planet over profit,7,877,2024-02,"['2024-02', '2024-06', '2024-08', '2024-09', '2024-11']"
drug policy alliance,7,878,2021-10,"['2021-10', '2021-11', '2022-09']"
leaders of kenosha,7,879,2020-10,"['2020-10', '2021-01', '2021-04', '2021-08', '2021-11', '2022-06', '2023-08']"
cair-minnesota,7,880,2020-09,"['2020-09', '2021-01', '2021-03', '2021-04']"
national network for immigrant and refugee rights,7,881,2024-12,['2024-12']
abolitionists,7,882,2021-04,"['2021-04', '2022-12', '2023-02', '2023-06', '2023-12']"
loved ones,7,883,2021-09,"['2021-09', '2022-01', '2023-01', '2023-07', '2023-08', '2023-09']"
rise,7,884,2020-07,"['2020-07', '2021-05', '2023-03', '2023-04', '2023-05', '2024-01']"
city leaders,7,885,2020-08,"['2020-08', '2022-03', '2023-01', '2023-02', '2023-05', '2023-08', '2025-01']"
casa san jose,7,886,2019-07,"['2019-07', '2021-10', '2021-12', '2022-05', '2022-06', '2023-05']"
black freedom project ny,7,887,2021-08,"['2021-08', '2022-02']"
adhikaar,7,888,2021-07,"['2021-07', '2021-09', '2021-10', '2021-12', '2022-05', '2023-05']"
national council of negro women,7,889,2021-07,"['2021-07', '2021-08', '2021-11', '2021-12', '2022-03', '2023-05']"
falastiniyat,7,890,2023-07,"['2023-07', '2023-10', '2024-01', '2024-03', '2024-05', '2024-11']"
civil rights leaders,7,891,2021-04,"['2021-04', '2021-12', '2022-01', '2022-03', '2023-06', '2023-07', '2023-08']"
one people's project,7,892,2018-04,"['2018-04', '2021-08', '2022-03', '2022-11', '2022-12']"
witness at the border,7,893,2020-01,"['2020-01', '2020-02', '2021-04', '2022-05', '2024-01', '2024-08']"
airport workers,7,894,2020-07,"['2020-07', '2021-02', '2021-04', '2023-08', '2023-09', '2024-11']"
end jew hatred,7,895,2023-10,"['2023-10', '2023-12', '2024-01', '2024-03', '2024-08', '2024-09', '2024-10']"
make the road pennsylvania,7,896,2018-06,"['2018-06', '2019-07', '2021-07', '2021-09', '2023-07', '2024-10']"
denver dsa,7,897,2022-05,"['2022-05', '2022-07', '2023-06', '2024-08', '2024-09', '2025-01']"
dallas anti-war committee,7,898,2023-03,"['2023-03', '2023-10', '2024-01', '2024-02', '2024-03', '2024-05', '2024-11']"
students for socialism,7,899,2021-11,"['2021-11', '2022-07', '2023-11', '2024-01', '2024-02', '2024-03']"
malaya movement,7,900,2023-03,"['2023-03', '2023-10', '2023-11', '2024-10', '2025-02']"
familia latina unida,7,901,2017-04,"['2017-04', '2022-03', '2022-09', '2023-05', '2023-07', '2024-01', '2025-01']"
sanctuary dmv,7,902,2017-02,"['2017-02', '2017-04', '2018-07', '2020-06', '2022-07', '2022-12']"
women's march cleveland,7,903,2019-01,"['2019-01', '2021-01', '2021-03', '2021-04', '2023-01', '2025-01', '2025-03']"
housing justice 4 all,7,904,2021-03,"['2021-03', '2021-04']"
sjp chicago,7,905,2024-03,"['2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2025-01']"
anakbayan chicago,7,906,2022-08,"['2022-08', '2023-04', '2023-07', '2023-08', '2024-01', '2024-08', '2024-11']"
black lives matter sacramento,7,907,2017-02,"['2017-02', '2018-08', '2018-09', '2019-01', '2019-03', '2020-05', '2020-10']"
new orleans for community oversight of police,7,908,2021-11,"['2021-11', '2022-07', '2023-03', '2023-05', '2023-08', '2023-10']"
verona for black lives matter,7,909,2020-12,"['2020-12', '2021-01']"
senior citizens,7,910,2020-08,"['2020-08', '2022-09', '2023-08', '2025-01', '2025-03']"
harris for president,7,911,2024-08,"['2024-08', '2024-10']"
area residents,7,912,2020-08,"['2020-08', '2023-01', '2023-05', '2023-08', '2023-11', '2024-02']"
reale justice network,7,913,2022-05,"['2022-05', '2022-07', '2022-10', '2022-11', '2023-01', '2023-04', '2023-09']"
frso dallas,7,914,2024-01,"['2024-01', '2024-02', '2024-03', '2024-05', '2024-11', '2025-01']"
reclaim pride coalition,7,915,2020-06,"['2020-06', '2021-06', '2022-06', '2023-06', '2024-01', '2024-02', '2024-06']"
newtown friends meeting peace & justice committee,7,916,2020-09,"['2020-09', '2020-11', '2020-12', '2021-11', '2021-12']"
embrace struggle active club,7,917,2022-10,"['2022-10', '2023-03', '2023-04', '2023-05', '2023-07', '2024-02']"
grassroots collaborative,7,918,2021-05,"['2021-05', '2021-12', '2022-04', '2022-07', '2022-10', '2022-12']"
the new pride agenda,7,919,2022-06,"['2022-06', '2022-10', '2024-06', '2024-09', '2024-11', '2024-12', '2025-01']"
olivier vernon,7,920,2017-11,"['2017-11', '2017-12']"
bikers riding against police brutality,7,921,2020-07,"['2020-07', '2021-03', '2021-04', '2024-06', '2025-01', '2025-02']"
solidarity against hate - boston,7,922,2020-09,"['2020-09', '2020-10', '2021-08', '2021-09', '2021-11', '2022-07']"
asylum seekers,7,923,2022-12,"['2022-12', '2023-01', '2023-02', '2023-06', '2024-01']"
reclaiming our time,7,924,2020-11,"['2020-11', '2020-12', '2021-01', '2021-04', '2021-05']"
occupy florida,7,925,2023-04,"['2023-04', '2023-06', '2025-02', '2025-03', '2025-04']"
thomas merton center,7,926,2020-11,"['2020-11', '2021-06', '2021-12', '2022-03', '2022-05', '2023-05']"
maryland youth liberation front,7,927,2020-09,"['2020-09', '2021-01', '2021-02', '2022-01']"
mpower change,7,928,2017-12,"['2017-12', '2020-03', '2021-01', '2022-05', '2022-07', '2023-12', '2024-04']"
mujeres unidas y activas,7,929,2022-03,"['2022-03', '2022-10', '2023-08', '2024-05', '2024-08']"
lulac,7,930,2017-06,"['2017-06', '2017-08', '2021-05', '2021-08', '2023-03', '2024-03', '2024-08']"
nj 4 abolition,7,931,2021-01,"['2021-01', '2021-02']"
iamc,7,932,2023-11,"['2023-11', '2024-01', '2024-02', '2024-03', '2024-05']"
black lives matter teaneck,7,933,2021-01,"['2021-01', '2021-02']"
fort bend coalition for palestine,7,934,2024-06,"['2024-06', '2024-07', '2024-08', '2024-09', '2024-12', '2025-01']"
jobs with justice,7,935,2020-11,"['2020-11', '2022-01', '2023-01', '2023-05', '2023-12', '2024-01', '2024-05']"
planned parenthood federation of america,7,936,2022-05,"['2022-05', '2023-01', '2023-04', '2025-01']"
